series,quarter,value
T16623,2012-06-30,1703.0
T16623,2012-09-30,1676.0
T16623,2012-12-31,1567.0
T16623,2013-03-31,1659.0
T16623,2013-06-30,1783.0
T16623,2013-09-30,1842.0
T16623,2013-12-31,1747.0
T16623,2014-03-31,1691.0
T16623,2014-06-30,1781.0
T16623,2014-09-30,1840.0
T16623,2014-12-31,1817.0
T16623,2015-03-31,1823.0
T16623,2015-06-30,1804.0
T16623,2015-09-30,1868.0
T16623,2015-12-31,1772.0
T16623,2016-03-31,1854.0
T16623,2016-06-30,1998.0
T16623,2016-09-30,2074.0
T16623,2016-12-31,2049.0
T16623,2017-03-31,2068.0
T16623,2017-06-30,2146.0
T16626,2007-12-31,1902.0
T16626,2008-03-31,2394.0
T16626,2008-06-30,2579.0
T16626,2008-09-30,2043.0
T16626,2008-12-31,2177.0
T16626,2009-03-31,2807.0
T16626,2009-06-30,2365.0
T16626,2009-09-30,2491.0
T16626,2009-12-31,2199.0
T16626,2010-03-31,3081.0
T16626,2010-06-30,2466.0
T16626,2010-09-30,2690.0
T16626,2010-12-31,3119.0
T16626,2011-03-31,3115.0
T16626,2011-06-30,3127.0
T16626,2011-09-30,4258.0
T16626,2011-12-31,3095.0
T16626,2012-03-31,3027.0
T16626,2012-06-30,4278.0
T16626,2012-09-30,3502.0
T16626,2012-12-31,5011.0
T16626,2013-03-31,4541.0
T16626,2013-06-30,4388.0
T16626,2013-09-30,2640.0
T16626,2013-12-31,6666.0
T16626,2014-03-31,2516.0
T16626,2014-06-30,2435.0
T16626,2014-09-30,2619.0
T16626,2014-12-31,5400.0
T16626,2015-03-31,5247.0
T16626,2015-06-30,2480.0
T16626,2015-09-30,2010.0
T16626,2015-12-31,1862.0
T16626,2016-03-31,2891.0
T16626,2016-06-30,2296.0
T16626,2016-09-30,5057.0
T16626,2016-12-31,2665.0
T16626,2017-03-31,2562.0
T16626,2017-06-30,3117.0
T16634,2007-12-31,2226.0
T16634,2008-03-31,1943.0
T16634,2008-06-30,2056.0
T16634,2008-09-30,2097.0
T16634,2008-12-31,2242.0
T16634,2009-03-31,2017.0
T16634,2009-06-30,2076.0
T16634,2009-09-30,1930.0
T16634,2009-12-31,2319.0
T16634,2010-03-31,2325.0
T16634,2010-06-30,2435.0
T16634,2010-09-30,2667.0
T16634,2010-12-31,2834.0
T16634,2011-03-31,2581.0
T16634,2011-06-30,2414.0
T16634,2011-09-30,2488.0
T16634,2011-12-31,3091.0
T16634,2012-03-31,2587.0
T16634,2012-06-30,2502.0
T16634,2012-09-30,2576.0
T16634,2012-12-31,3131.0
T16634,2013-03-31,2630.0
T16634,2013-06-30,3216.0
T16634,2013-09-30,3105.0
T16634,2013-12-31,3040.0
T16634,2014-03-31,2687.0
T16634,2014-06-30,2697.0
T16634,2014-09-30,2465.0
T16634,2014-12-31,3014.0
T16634,2015-03-31,2868.0
T16634,2015-06-30,3064.0
T16634,2015-09-30,2917.0
T16634,2015-12-31,3424.0
T16634,2016-03-31,2719.0
T16634,2016-06-30,3022.0
T16634,2016-09-30,3351.0
T16634,2016-12-31,4153.0
T16634,2017-03-31,3548.0
T16634,2017-06-30,3558.0
T16638,2007-12-31,1272.0
T16638,2008-03-31,1246.0
T16638,2008-06-30,1353.0
T16638,2008-09-30,1239.0
T16638,2008-12-31,1170.0
T16638,2009-03-31,948.0
T16638,2009-06-30,833.0
T16638,2009-09-30,775.0
T16638,2009-12-31,849.0
T16638,2010-03-31,894.0
T16638,2010-06-30,979.0
T16638,2010-09-30,976.0
T16638,2010-12-31,1138.0
T16638,2011-03-31,1073.0
T16638,2011-06-30,1229.0
T16638,2011-09-30,1186.0
T16638,2011-12-31,1176.0
T16638,2012-03-31,1180.0
T16638,2012-06-30,1166.0
T16638,2012-09-30,1115.0
T16638,2012-12-31,981.0
T16638,2013-03-31,1058.0
T16638,2013-06-30,1142.0
T16638,2013-09-30,1167.0
T16638,2013-12-31,1176.0
T16638,2014-03-31,1111.0
T16638,2014-06-30,1207.0
T16638,2014-09-30,1377.0
T16638,2014-12-31,1252.0
T16638,2015-03-31,1283.0
T16638,2015-06-30,1331.0
T16638,2015-09-30,1208.0
T16638,2015-12-31,1138.0
T16638,2016-03-31,1239.0
T16638,2016-06-30,1384.0
T16638,2016-09-30,1368.0
T16638,2016-12-31,1314.0
T16638,2017-03-31,1643.0
T16638,2017-06-30,1665.0
T16717,2007-12-31,1858.0
T16717,2008-03-31,1797.0
T16717,2008-06-30,2085.0
T16717,2008-09-30,2092.0
T16717,2008-12-31,1791.0
T16717,2009-03-31,1581.0
T16717,2009-06-30,1719.0
T16717,2009-09-30,1759.0
T16717,2009-12-31,1661.0
T16717,2010-03-31,1685.0
T16717,2010-06-30,2103.0
T16717,2010-09-30,2186.0
T16717,2010-12-31,2059.0
T16717,2011-03-31,2095.0
T16717,2011-06-30,2225.0
T16717,2011-09-30,2218.0
T16717,2011-12-31,1839.0
T16717,2012-03-31,1837.0
T16717,2012-06-30,2006.0
T16717,2012-09-30,2202.0
T16717,2012-12-31,2306.0
T16717,2013-03-31,2509.0
T16717,2013-06-30,2609.0
T16717,2013-09-30,2695.0
T16717,2013-12-31,2605.0
T16717,2014-03-31,2543.0
T16717,2014-06-30,2704.0
T16717,2014-09-30,2750.0
T16717,2014-12-31,2640.0
T16717,2015-03-31,2720.0
T16717,2015-06-30,2744.0
T16717,2015-09-30,2817.0
T16717,2015-12-31,2702.0
T16717,2016-03-31,2785.0
T16717,2016-06-30,3002.0
T16717,2016-09-30,3014.0
T16717,2016-12-31,2909.0
T16717,2017-03-31,2970.0
T16717,2017-06-30,3081.0
T16718,2007-12-31,1247.0
T16718,2008-03-31,1187.0
T16718,2008-06-30,1379.0
T16718,2008-09-30,1384.0
T16718,2008-12-31,1204.0
T16718,2009-03-31,1071.0
T16718,2009-06-30,1173.0
T16718,2009-09-30,1210.0
T16718,2009-12-31,1110.0
T16718,2010-03-31,1122.0
T16718,2010-06-30,1389.0
T16718,2010-09-30,1477.0
T16718,2010-12-31,1355.0
T16718,2011-03-31,1353.0
T16718,2011-06-30,1454.0
T16718,2011-09-30,1469.0
T16718,2011-12-31,1208.0
T16718,2012-03-31,1226.0
T16718,2012-06-30,1336.0
T16718,2012-09-30,1477.0
T16718,2012-12-31,1532.0
T16718,2013-03-31,1680.0
T16718,2013-06-30,1756.0
T16718,2013-09-30,1841.0
T16718,2013-12-31,1754.0
T16718,2014-03-31,1700.0
T16718,2014-06-30,1797.0
T16718,2014-09-30,1865.0
T16718,2014-12-31,1831.0
T16718,2015-03-31,1866.0
T16718,2015-06-30,1885.0
T16718,2015-09-30,1972.0
T16718,2015-12-31,1872.0
T16718,2016-03-31,1940.0
T16718,2016-06-30,2076.0
T16718,2016-09-30,2073.0
T16718,2016-12-31,2012.0
T16718,2017-03-31,2017.0
T16718,2017-06-30,2082.0
T16723,2007-12-31,2060.0
T16723,2008-03-31,1900.0
T16723,2008-06-30,1960.0
T16723,2008-09-30,1770.0
T16723,2008-12-31,1910.0
T16723,2009-03-31,1710.0
T16723,2009-06-30,1690.0
T16723,2009-09-30,1730.0
T16723,2009-12-31,1940.0
T16723,2010-03-31,1650.0
T16723,2010-06-30,1820.0
T16723,2010-09-30,1800.0
T16723,2010-12-31,2020.0
T16723,2011-03-31,1990.0
T16723,2011-06-30,1660.0
T16723,2011-09-30,1850.0
T16723,2011-12-31,1750.0
T16723,2012-03-31,1570.0
T16723,2012-06-30,1580.0
T16723,2012-09-30,1830.0
T16723,2012-12-31,2270.0
T16723,2013-03-31,2190.0
T16723,2013-06-30,2140.0
T16723,2013-09-30,2270.0
T16723,2013-12-31,2700.0
T16723,2014-03-31,2750.0
T16723,2014-06-30,2220.0
T16723,2014-09-30,2710.0
T16723,2014-12-31,2660.0
T16723,2015-03-31,2490.0
T16723,2015-06-30,2220.0
T16723,2015-09-30,2230.0
T16723,2015-12-31,2480.0
T16723,2016-03-31,2290.0
T16723,2016-06-30,2150.0
T16723,2016-09-30,2080.0
T16723,2016-12-31,2450.0
T16723,2017-03-31,2260.0
T16723,2017-06-30,1820.0
T16732,2007-12-31,1742.0
T16732,2008-03-31,1705.0
T16732,2008-06-30,1966.0
T16732,2008-09-30,1936.0
T16732,2008-12-31,1653.0
T16732,2009-03-31,1320.0
T16732,2009-06-30,1391.0
T16732,2009-09-30,1343.0
T16732,2009-12-31,1334.0
T16732,2010-03-31,1343.0
T16732,2010-06-30,1638.0
T16732,2010-09-30,1641.0
T16732,2010-12-31,1596.0
T16732,2011-03-31,1655.0
T16732,2011-06-30,1724.0
T16732,2011-09-30,1724.0
T16732,2011-12-31,1511.0
T16732,2012-03-31,1563.0
T16732,2012-06-30,1644.0
T16732,2012-09-30,1769.0
T16732,2012-12-31,1847.0
T16732,2013-03-31,2026.0
T16732,2013-06-30,2112.0
T16732,2013-09-30,2103.0
T16732,2013-12-31,2100.0
T16732,2014-03-31,2168.0
T16732,2014-06-30,2279.0
T16732,2014-09-30,2272.0
T16732,2014-12-31,2374.0
T16732,2015-03-31,2303.0
T16732,2015-06-30,2313.0
T16732,2015-09-30,2305.0
T16732,2015-12-31,2284.0
T16732,2016-03-31,2353.0
T16732,2016-06-30,2446.0
T16732,2016-09-30,2314.0
T16732,2016-12-31,2310.0
T16732,2017-03-31,2154.0
T16732,2017-06-30,2126.0
T16823,2007-12-31,4540.0
T16823,2008-03-31,3990.0
T16823,2008-06-30,4680.0
T16823,2008-09-30,4630.0
T16823,2008-12-31,4380.0
T16823,2009-03-31,3730.0
T16823,2009-06-30,3550.0
T16823,2009-09-30,3480.0
T16823,2009-12-31,4270.0
T16823,2010-03-31,4110.0
T16823,2010-06-30,4580.0
T16823,2010-09-30,4720.0
T16823,2010-12-31,4940.0
T16823,2011-03-31,5080.0
T16823,2011-06-30,4940.0
T16823,2011-09-30,5250.0
T16823,2011-12-31,5680.0
T16823,2012-03-31,4960.0
T16823,2012-06-30,5100.0
T16823,2012-09-30,4710.0
T16823,2012-12-31,4730.0
T16823,2013-03-31,4480.0
T16823,2013-06-30,4650.0
T16823,2013-09-30,5020.0
T16823,2013-12-31,5100.0
T16823,2014-03-31,5200.0
T16823,2014-06-30,5520.0
T16823,2014-09-30,5320.0
T16823,2014-12-31,6060.0
T16823,2015-03-31,5890.0
T16823,2015-06-30,5770.0
T16823,2015-09-30,5110.0
T16823,2015-12-31,5290.0
T16823,2016-03-31,4760.0
T16823,2016-06-30,5190.0
T16823,2016-09-30,5010.0
T16823,2016-12-31,5670.0
T16823,2017-03-31,5380.0
T16823,2017-06-30,5570.0
T16850,2007-12-31,8000.0
T16850,2008-03-31,9600.0
T16850,2008-06-30,9800.0
T16850,2008-09-30,11600.0
T16850,2008-12-31,11500.0
T16850,2009-03-31,8300.0
T16850,2009-06-30,8500.0
T16850,2009-09-30,9100.0
T16850,2009-12-31,9600.0
T16850,2010-03-31,10800.0
T16850,2010-06-30,12400.0
T16850,2010-09-30,10200.0
T16850,2010-12-31,8600.0
T16850,2011-03-31,13500.0
T16850,2011-06-30,13600.0
T16850,2011-09-30,14400.0
T16850,2011-12-31,13700.0
T16850,2012-03-31,14000.0
T16850,2012-06-30,13400.0
T16850,2012-09-30,12500.0
T16850,2012-12-31,10100.0
T16850,2013-03-31,11200.0
T16850,2013-06-30,10100.0
T16850,2013-09-30,8000.0
T16850,2013-12-31,8600.0
T16850,2014-03-31,7700.0
T16850,2014-06-30,7000.0
T16850,2014-09-30,7200.0
T16850,2014-12-31,6900.0
T16850,2015-03-31,6100.0
T16850,2015-06-30,4200.0
T16850,2015-09-30,5300.0
T16850,2015-12-31,4900.0
T16850,2016-03-31,5100.0
T16850,2016-06-30,5300.0
T16850,2016-09-30,5200.0
T16850,2016-12-31,5800.0
T16850,2017-03-31,8100.0
T16850,2017-06-30,7800.0
T16879,2007-12-31,1110.0
T16879,2008-03-31,1150.0
T16879,2008-06-30,1180.0
T16879,2008-09-30,1120.0
T16879,2008-12-31,1100.0
T16879,2009-03-31,1060.0
T16879,2009-06-30,1180.0
T16879,2009-09-30,1170.0
T16879,2009-12-31,1240.0
T16879,2010-03-31,1080.0
T16879,2010-06-30,1150.0
T16879,2010-09-30,1230.0
T16879,2010-12-31,1230.0
T16879,2011-03-31,1190.0
T16879,2011-06-30,1210.0
T16879,2011-09-30,1170.0
T16879,2011-12-31,1200.0
T16879,2012-03-31,1130.0
T16879,2012-06-30,1150.0
T16879,2012-09-30,1240.0
T16879,2012-12-31,1140.0
T16879,2013-03-31,1130.0
T16879,2013-06-30,1210.0
T16879,2013-09-30,1170.0
T16879,2013-12-31,1370.0
T16879,2014-03-31,700.0
T16879,2014-06-30,740.0
T16879,2014-09-30,760.0
T16879,2014-12-31,800.0
T16879,2015-03-31,1260.0
T16879,2015-06-30,1410.0
T16879,2015-09-30,1420.0
T16879,2015-12-31,1520.0
T16879,2016-03-31,1420.0
T16879,2016-06-30,1690.0
T16879,2016-09-30,1510.0
T16879,2016-12-31,1650.0
T16879,2017-03-31,1600.0
T16879,2017-06-30,1750.0
T16886,2007-12-31,7630.0
T16886,2008-03-31,7250.0
T16886,2008-06-30,7550.0
T16886,2008-09-30,7250.0
T16886,2008-12-31,6880.0
T16886,2009-03-31,5810.0
T16886,2009-06-30,6240.0
T16886,2009-09-30,6440.0
T16886,2009-12-31,6820.0
T16886,2010-03-31,6330.0
T16886,2010-06-30,6720.0
T16886,2010-09-30,6690.0
T16886,2010-12-31,6800.0
T16886,2011-03-31,6800.0
T16886,2011-06-30,6760.0
T16886,2011-09-30,6570.0
T16886,2011-12-31,6340.0
T16886,2012-03-31,6370.0
T16886,2012-06-30,6370.0
T16886,2012-09-30,6640.0
T16886,2012-12-31,6280.0
T16886,2013-03-31,6010.0
T16886,2013-06-30,6400.0
T16886,2013-09-30,6260.0
T16886,2013-12-31,6210.0
T16886,2014-03-31,6140.0
T16886,2014-06-30,6150.0
T16886,2014-09-30,6340.0
T16886,2014-12-31,6390.0
T16886,2015-03-31,6090.0
T16886,2015-06-30,6020.0
T16886,2015-09-30,5970.0
T16886,2015-12-31,5900.0
T16886,2016-03-31,5760.0
T16886,2016-06-30,5950.0
T16886,2016-09-30,6120.0
T16886,2016-12-31,6130.0
T16886,2017-03-31,6000.0
T16886,2017-06-30,6210.0
T16920,2007-12-31,10840.0
T16920,2008-03-31,11160.0
T16920,2008-06-30,15350.0
T16920,2008-09-30,15320.0
T16920,2008-12-31,11880.0
T16920,2009-03-31,11550.0
T16920,2009-06-30,13190.0
T16920,2009-09-30,12820.0
T16920,2009-12-31,12820.0
T16920,2010-03-31,12420.0
T16920,2010-06-30,12790.0
T16920,2010-09-30,13480.0
T16920,2010-12-31,16280.0
T16920,2011-03-31,13010.0
T16920,2011-06-30,14440.0
T16920,2011-09-30,13230.0
T16920,2011-12-31,11500.0
T16920,2012-03-31,13060.0
T16920,2012-06-30,11580.0
T16920,2012-09-30,11830.0
T16920,2012-12-31,12190.0
T16920,2013-03-31,12160.0
T16920,2013-06-30,12290.0
T16920,2013-09-30,11450.0
T16920,2013-12-31,11500.0
T16920,2014-03-31,13310.0
T16920,2014-06-30,13270.0
T16920,2014-09-30,13360.0
T16920,2014-12-31,11940.0
T16920,2015-03-31,10930.0
T16920,2015-06-30,11520.0
T16920,2015-09-30,9970.0
T16920,2015-12-31,9210.0
T16920,2016-03-31,9610.0
T16920,2016-06-30,10820.0
T16920,2016-09-30,11480.0
T16920,2016-12-31,13120.0
T16920,2017-03-31,13750.0
T16920,2017-06-30,14520.0
T16931,2007-12-31,1770.0
T16931,2008-03-31,1640.0
T16931,2008-06-30,1670.0
T16931,2008-09-30,1720.0
T16931,2008-12-31,1560.0
T16931,2009-03-31,1640.0
T16931,2009-06-30,1570.0
T16931,2009-09-30,1580.0
T16931,2009-12-31,1650.0
T16931,2010-03-31,1640.0
T16931,2010-06-30,1750.0
T16931,2010-09-30,1950.0
T16931,2010-12-31,2070.0
T16931,2011-03-31,1990.0
T16931,2011-06-30,1810.0
T16931,2011-09-30,1730.0
T16931,2011-12-31,1970.0
T16931,2012-03-31,1830.0
T16931,2012-06-30,1900.0
T16931,2012-09-30,1940.0
T16931,2012-12-31,1840.0
T16931,2013-03-31,1930.0
T16931,2013-06-30,1980.0
T16931,2013-09-30,1920.0
T16931,2013-12-31,1820.0
T16931,2014-03-31,1940.0
T16931,2014-06-30,1850.0
T16931,2014-09-30,1910.0
T16931,2014-12-31,2070.0
T16931,2015-03-31,2110.0
T16931,2015-06-30,2190.0
T16931,2015-09-30,2490.0
T16931,2015-12-31,2270.0
T16931,2016-03-31,2180.0
T16931,2016-06-30,2420.0
T16931,2016-09-30,2410.0
T16931,2016-12-31,2600.0
T16931,2017-03-31,2590.0
T16931,2017-06-30,2710.0
T16945,2007-12-31,3410.0
T16945,2008-03-31,3390.0
T16945,2008-06-30,3470.0
T16945,2008-09-30,3460.0
T16945,2008-12-31,3270.0
T16945,2009-03-31,2790.0
T16945,2009-06-30,2520.0
T16945,2009-09-30,2510.0
T16945,2009-12-31,2870.0
T16945,2010-03-31,3080.0
T16945,2010-06-30,3260.0
T16945,2010-09-30,3250.0
T16945,2010-12-31,3010.0
T16945,2011-03-31,3310.0
T16945,2011-06-30,3190.0
T16945,2011-09-30,3100.0
T16945,2011-12-31,3230.0
T16945,2012-03-31,3170.0
T16945,2012-06-30,3100.0
T16945,2012-09-30,3250.0
T16945,2012-12-31,2840.0
T16945,2013-03-31,2770.0
T16945,2013-06-30,3070.0
T16945,2013-09-30,3320.0
T16945,2013-12-31,3440.0
T16945,2014-03-31,3440.0
T16945,2014-06-30,3230.0
T16945,2014-09-30,3230.0
T16945,2014-12-31,3010.0
T16945,2015-03-31,3230.0
T16945,2015-06-30,3070.0
T16945,2015-09-30,3090.0
T16945,2015-12-31,3120.0
T16945,2016-03-31,3120.0
T16945,2016-06-30,3110.0
T16945,2016-09-30,2980.0
T16945,2016-12-31,3170.0
T16945,2017-03-31,3140.0
T16945,2017-06-30,3290.0
T16962,2007-12-31,10780.0
T16962,2008-03-31,10990.0
T16962,2008-06-30,15280.0
T16962,2008-09-30,15450.0
T16962,2008-12-31,11990.0
T16962,2009-03-31,11720.0
T16962,2009-06-30,13270.0
T16962,2009-09-30,12680.0
T16962,2009-12-31,12710.0
T16962,2010-03-31,12460.0
T16962,2010-06-30,12800.0
T16962,2010-09-30,13470.0
T16962,2010-12-31,16240.0
T16962,2011-03-31,12970.0
T16962,2011-06-30,14420.0
T16962,2011-09-30,13230.0
T16962,2011-12-31,11560.0
T16962,2012-03-31,12800.0
T16962,2012-06-30,11710.0
T16962,2012-09-30,11930.0
T16962,2012-12-31,12220.0
T16962,2013-03-31,12130.0
T16962,2013-06-30,12380.0
T16962,2013-09-30,11440.0
T16962,2013-12-31,11450.0
T16962,2014-03-31,13390.0
T16962,2014-06-30,13210.0
T16962,2014-09-30,13240.0
T16962,2014-12-31,12040.0
T16962,2015-03-31,11030.0
T16962,2015-06-30,11490.0
T16962,2015-09-30,9890.0
T16962,2015-12-31,9220.0
T16962,2016-03-31,9600.0
T16962,2016-06-30,10840.0
T16962,2016-09-30,11310.0
T16962,2016-12-31,13280.0
T16962,2017-03-31,13550.0
T16962,2017-06-30,14520.0
T16965,2007-12-31,3186.0
T16965,2008-03-31,3515.0
T16965,2008-06-30,3750.0
T16965,2008-09-30,3819.0
T16965,2008-12-31,3817.0
T16965,2009-03-31,3918.0
T16965,2009-06-30,3940.0
T16965,2009-09-30,3779.0
T16965,2009-12-31,4042.0
T16965,2010-03-31,3910.0
T16965,2010-06-30,4021.0
T16965,2010-09-30,4024.0
T16965,2010-12-31,4069.0
T16965,2011-03-31,4199.0
T16965,2011-06-30,4308.0
T16965,2011-09-30,4514.0
T16965,2011-12-31,4551.0
T16965,2012-03-31,4460.0
T16965,2012-06-30,4486.0
T16965,2012-09-30,4636.0
T16965,2012-12-31,4547.0
T16965,2013-03-31,4759.0
T16965,2013-06-30,4861.0
T16965,2013-09-30,4996.0
T16965,2013-12-31,4968.0
T16965,2014-03-31,4891.0
T16965,2014-06-30,4971.0
T16965,2014-09-30,4871.0
T16965,2014-12-31,4984.0
T16965,2015-03-31,4960.0
T16965,2015-06-30,4845.0
T16965,2015-09-30,4858.0
T16965,2015-12-31,4821.0
T16965,2016-03-31,4976.0
T16965,2016-06-30,5061.0
T16965,2016-09-30,5311.0
T16965,2016-12-31,5560.0
T16965,2017-03-31,5706.0
T16965,2017-06-30,5805.0
T17010,2007-12-31,1408.0
T17010,2008-03-31,1391.0
T17010,2008-06-30,1385.0
T17010,2008-09-30,1402.0
T17010,2008-12-31,1356.0
T17010,2009-03-31,1231.0
T17010,2009-06-30,1191.0
T17010,2009-09-30,1326.0
T17010,2009-12-31,1291.0
T17010,2010-03-31,1278.0
T17010,2010-06-30,1288.0
T17010,2010-09-30,1318.0
T17010,2010-12-31,1326.0
T17010,2011-03-31,1263.0
T17010,2011-06-30,1245.0
T17010,2011-09-30,1296.0
T17010,2011-12-31,1207.0
T17010,2012-03-31,1169.0
T17010,2012-06-30,1216.0
T17010,2012-09-30,1213.0
T17010,2012-12-31,1211.0
T17010,2013-03-31,1216.0
T17010,2013-06-30,1242.0
T17010,2013-09-30,1287.0
T17010,2013-12-31,1322.0
T17010,2014-03-31,1302.0
T17010,2014-06-30,1284.0
T17010,2014-09-30,1299.0
T17010,2014-12-31,1292.0
T17010,2015-03-31,1241.0
T17010,2015-06-30,1212.0
T17010,2015-09-30,1300.0
T17010,2015-12-31,1277.0
T17010,2016-03-31,1218.0
T17010,2016-06-30,1209.0
T17010,2016-09-30,1221.0
T17010,2016-12-31,1112.0
T17010,2017-03-31,1141.0
T17010,2017-06-30,1118.0
T17055,2007-12-31,7320.0
T17055,2008-03-31,8280.0
T17055,2008-06-30,8680.0
T17055,2008-09-30,8680.0
T17055,2008-12-31,8140.0
T17055,2009-03-31,7810.0
T17055,2009-06-30,8780.0
T17055,2009-09-30,9990.0
T17055,2009-12-31,9230.0
T17055,2010-03-31,9170.0
T17055,2010-06-30,9660.0
T17055,2010-09-30,9820.0
T17055,2010-12-31,10800.0
T17055,2011-03-31,10250.0
T17055,2011-06-30,11000.0
T17055,2011-09-30,13720.0
