series,month,value
T11042,2006-04-01,2984.8
T11042,2006-05-01,2993.0
T11042,2006-06-01,3003.4
T11042,2006-07-01,2983.0
T11042,2006-08-01,2996.7
T11042,2006-09-01,3012.7
T11042,2006-10-01,3028.8
T11042,2006-11-01,3045.3
T11042,2006-12-01,3070.2
T11042,2007-01-01,2998.4
T11042,2007-02-01,3023.0
T11042,2007-03-01,3043.5
T11042,2007-04-01,3029.1
T11042,2007-05-01,3037.8
T11042,2007-06-01,3046.1
T11042,2007-07-01,3034.9
T11042,2007-08-01,3040.5
T11042,2007-09-01,3056.3
T11042,2007-10-01,3064.7
T11042,2007-11-01,3081.7
T11042,2007-12-01,3108.8
T11042,2008-01-01,2996.3
T11042,2008-02-01,3021.7
T11042,2008-03-01,3038.1
T11042,2008-04-01,3040.9
T11042,2008-05-01,3042.3
T11042,2008-06-01,3041.7
T11042,2008-07-01,3024.3
T11042,2008-08-01,3016.7
T11042,2008-09-01,3024.5
T11042,2008-10-01,3026.7
T11042,2008-11-01,3015.8
T11042,2008-12-01,3019.9
T11042,2009-01-01,2908.5
T11042,2009-02-01,2906.6
T11042,2009-03-01,2906.6
T11042,2009-04-01,2878.7
T11042,2009-05-01,2880.4
T11042,2009-06-01,2871.6
T11042,2009-07-01,2840.0
T11042,2009-08-01,2837.0
T11042,2009-09-01,2851.8
T11042,2009-10-01,2865.9
T11042,2009-11-01,2872.1
T11042,2009-12-01,2889.2
T11042,2010-01-01,2815.0
T11042,2010-02-01,2823.9
T11042,2010-03-01,2836.1
T11042,2010-04-01,2851.6
T11042,2010-05-01,2855.0
T11042,2010-06-01,2859.4
T11042,2010-07-01,2845.6
T11042,2010-08-01,2857.1
T11042,2010-09-01,2872.0
T11042,2010-10-01,2892.9
T11042,2010-11-01,2905.1
T11042,2010-12-01,2926.9
T11042,2011-01-01,2861.4
T11042,2011-02-01,2880.7
T11042,2011-03-01,2888.4
T11042,2011-04-01,2889.0
T11042,2011-05-01,2892.2
T11042,2011-06-01,2888.0
T11042,2011-07-01,2885.6
T11042,2011-08-01,2895.4
T11042,2011-09-01,2914.2
T11042,2011-10-01,2932.4
T11042,2011-11-01,2950.2
T11042,2011-12-01,2973.1
T11042,2012-01-01,2910.4
T11042,2012-02-01,2934.2
T11042,2012-03-01,2953.1
T11042,2012-04-01,2981.3
T11042,2012-05-01,2993.6
T11042,2012-06-01,2994.5
T11042,2012-07-01,2988.7
T11042,2012-08-01,3005.5
T11042,2012-09-01,3014.1
T11042,2012-10-01,3038.7
T11042,2012-11-01,3074.3
T11042,2012-12-01,3091.9
T11042,2013-01-01,2998.5
T11042,2013-02-01,3020.2
T11042,2013-03-01,3030.6
T11042,2013-04-01,3050.7
T11042,2013-05-01,3061.8
T11042,2013-06-01,3058.9
T11042,2013-07-01,3055.6
T11042,2013-08-01,3073.8
T11042,2013-09-01,3085.0
T11042,2013-10-01,3116.3
T11042,2013-11-01,3153.0
T11042,2013-12-01,3167.2
T11042,2014-01-01,3098.3
T11042,2014-02-01,3110.7
T11042,2014-03-01,3119.9
T11042,2014-04-01,3124.8
T11042,2014-05-01,3132.9
T11042,2014-06-01,3127.0
T11042,2014-07-01,3117.0
T11042,2014-08-01,3146.3
T11042,2014-09-01,3155.7
T11042,2014-10-01,3181.1
T11042,2014-11-01,3205.9
T11042,2014-12-01,3218.5
T11042,2015-01-01,3139.5
T11042,2015-02-01,3169.7
T11042,2015-03-01,3181.6
T11042,2015-04-01,3191.2
T11042,2015-05-01,3200.0
T11042,2015-06-01,3191.4
T11042,2015-07-01,3209.6
T11042,2015-08-01,3224.7
T11042,2015-09-01,3236.8
T11042,2015-10-01,3265.4
T11042,2015-11-01,3287.6
T11042,2015-12-01,3306.0
T11042,2016-01-01,3232.2
T11042,2016-02-01,3267.4
T11042,2016-03-01,3278.3
T11042,2016-04-01,3296.4
T11042,2016-05-01,3299.7
T11042,2016-06-01,3309.4
T11042,2016-07-01,3286.6
T11042,2016-08-01,3300.5
T11042,2016-09-01,3306.3
T11042,2016-10-01,3331.4
T11042,2016-11-01,3355.9
T11042,2016-12-01,3361.9
T1106,2003-07-01,2320.0
T1106,2003-08-01,2348.0
T1106,2003-09-01,2366.0
T1106,2003-10-01,2371.0
T1106,2003-11-01,2389.0
T1106,2003-12-01,2396.0
T1106,2004-01-01,2338.0
T1106,2004-02-01,2356.0
T1106,2004-03-01,2368.0
T1106,2004-04-01,2384.0
T1106,2004-05-01,2381.0
T1106,2004-06-01,2362.0
T1106,2004-07-01,2360.0
T1106,2004-08-01,2384.0
T1106,2004-09-01,2392.0
T1106,2004-10-01,2389.0
T1106,2004-11-01,2403.0
T1106,2004-12-01,2425.0
T1106,2005-01-01,2361.0
T1106,2005-02-01,2374.0
T1106,2005-03-01,2396.0
T1106,2005-04-01,2412.0
T1106,2005-05-01,2409.0
T1106,2005-06-01,2391.0
T1106,2005-07-01,2384.0
T1106,2005-08-01,2418.0
T1106,2005-09-01,2432.0
T1106,2005-10-01,2425.0
T1106,2005-11-01,2442.0
T1106,2005-12-01,2453.0
T1106,2006-01-01,2381.0
T1106,2006-02-01,2399.0
T1106,2006-03-01,2430.0
T1106,2006-04-01,2452.0
T1106,2006-05-01,2455.0
T1106,2006-06-01,2447.0
T1106,2006-07-01,2440.0
T1106,2006-08-01,2472.0
T1106,2006-09-01,2490.0
T1106,2006-10-01,2489.0
T1106,2006-11-01,2499.0
T1106,2006-12-01,2505.0
T1106,2007-01-01,2438.0
T1106,2007-02-01,2451.0
T1106,2007-03-01,2471.0
T1106,2007-04-01,2472.0
T1106,2007-05-01,2475.0
T1106,2007-06-01,2472.0
T1106,2007-07-01,2460.0
T1106,2007-08-01,2477.0
T1106,2007-09-01,2486.0
T1106,2007-10-01,2493.0
T1106,2007-11-01,2501.0
T1106,2007-12-01,2505.0
T1106,2008-01-01,2444.0
T1106,2008-02-01,2462.0
T1106,2008-03-01,2472.0
T1106,2008-04-01,2469.0
T1106,2008-05-01,2470.0
T1106,2008-06-01,2451.0
T1106,2008-07-01,2431.0
T1106,2008-08-01,2459.0
T1106,2008-09-01,2461.0
T1106,2008-10-01,2426.0
T1106,2008-11-01,2425.0
T1106,2008-12-01,2415.0
T1106,2009-01-01,2327.0
T1106,2009-02-01,2304.0
T1106,2009-03-01,2298.0
T1106,2009-04-01,2285.0
T1106,2009-05-01,2278.0
T1106,2009-06-01,2257.0
T1106,2009-07-01,2237.0
T1106,2009-08-01,2251.0
T1106,2009-09-01,2268.0
T1106,2009-10-01,2276.0
T1106,2009-11-01,2283.0
T1106,2009-12-01,2285.0
T1106,2010-01-01,2243.0
T1106,2010-02-01,2253.0
T1106,2010-03-01,2269.0
T1106,2010-04-01,2286.0
T1106,2010-05-01,2293.0
T1106,2010-06-01,2275.0
T1106,2010-07-01,2269.0
T1106,2010-08-01,2283.0
T1106,2010-09-01,2309.0
T1106,2010-10-01,2311.0
T1106,2010-11-01,2326.0
T1106,2010-12-01,2333.0
T1106,2011-01-01,2252.0
T1106,2011-02-01,2288.0
T1106,2011-03-01,2307.0
T1106,2011-04-01,2344.0
T1106,2011-05-01,2335.0
T1106,2011-06-01,2316.0
T1106,2011-07-01,2305.0
T1106,2011-08-01,2346.0
T1106,2011-09-01,2358.0
T1106,2011-10-01,2363.0
T1106,2011-11-01,2369.0
T1106,2011-12-01,2371.0
T1106,2012-01-01,2332.0
T1106,2012-02-01,2342.0
T1106,2012-03-01,2366.0
T1106,2012-04-01,2382.0
T1106,2012-05-01,2376.0
T1106,2012-06-01,2347.0
T1106,2012-07-01,2329.0
T1106,2012-08-01,2354.0
T1106,2012-09-01,2378.0
T1106,2012-10-01,2396.0
T1106,2012-11-01,2402.0
T1106,2012-12-01,2406.0
T1106,2013-01-01,2344.0
T1106,2013-02-01,2364.0
T1106,2013-03-01,2375.0
T1106,2013-04-01,2391.0
T1106,2013-05-01,2380.0
T1106,2013-06-01,2353.0
T1106,2013-07-01,2356.0
T1106,2013-08-01,2380.0
T1106,2013-09-01,2392.0
T1106,2013-10-01,2400.0
T1106,2013-11-01,2406.0
T1106,2013-12-01,2406.0
T1106,2014-01-01,2346.0
T1106,2014-02-01,2347.0
T1106,2014-03-01,2375.0
T1106,2014-04-01,2389.0
T1106,2014-05-01,2380.0
T1106,2014-06-01,2391.0
T1106,2014-07-01,2373.0
T1106,2014-08-01,2395.0
T1106,2014-09-01,2413.0
T1106,2014-10-01,2418.0
T1106,2014-11-01,2427.0
T1106,2014-12-01,2428.0
T1106,2015-01-01,2385.0
T1106,2015-02-01,2405.0
T1106,2015-03-01,2416.0
T1106,2015-04-01,2451.0
T1106,2015-05-01,2452.0
T1106,2015-06-01,2458.0
T1106,2015-07-01,2460.0
T1106,2015-08-01,2498.0
T1106,2015-09-01,2494.0
T1106,2015-10-01,2499.0
T1106,2015-11-01,2508.0
T1106,2015-12-01,2518.0
T1106,2016-01-01,2471.0
T1106,2016-02-01,2489.0
T1106,2016-03-01,2489.0
T1106,2016-04-01,2500.0
T1106,2016-05-01,2507.0
T1106,2016-06-01,2498.0
T1106,2016-07-01,2489.0
T1106,2016-08-01,2510.0
T1106,2016-09-01,2520.0
T1106,2016-10-01,2534.0
T1106,2016-11-01,2537.0
T1106,2016-12-01,2532.0
T11187,2003-07-01,2030.0
T11187,2003-08-01,2028.0
T11187,2003-09-01,2043.0
T11187,2003-10-01,2054.0
T11187,2003-11-01,2059.0
T11187,2003-12-01,2063.0
T11187,2004-01-01,1997.0
T11187,2004-02-01,2001.0
T11187,2004-03-01,2024.0
T11187,2004-04-01,2058.0
T11187,2004-05-01,2071.0
T11187,2004-06-01,2074.0
T11187,2004-07-01,2072.0
T11187,2004-08-01,2057.0
T11187,2004-09-01,2075.0
T11187,2004-10-01,2089.0
T11187,2004-11-01,2090.0
T11187,2004-12-01,2094.0
T11187,2005-01-01,2017.0
T11187,2005-02-01,2033.0
T11187,2005-03-01,2043.0
T11187,2005-04-01,2079.0
T11187,2005-05-01,2087.0
T11187,2005-06-01,2088.0
T11187,2005-07-01,2077.0
T11187,2005-08-01,2074.0
T11187,2005-09-01,2096.0
T11187,2005-10-01,2103.0
T11187,2005-11-01,2112.0
T11187,2005-12-01,2115.0
T11187,2006-01-01,2040.0
T11187,2006-02-01,2052.0
T11187,2006-03-01,2064.0
T11187,2006-04-01,2116.0
T11187,2006-05-01,2115.0
T11187,2006-06-01,2119.0
T11187,2006-07-01,2102.0
T11187,2006-08-01,2096.0
T11187,2006-09-01,2117.0
T11187,2006-10-01,2126.0
T11187,2006-11-01,2129.0
T11187,2006-12-01,2134.0
T11187,2007-01-01,2064.0
T11187,2007-02-01,2071.0
T11187,2007-03-01,2079.0
T11187,2007-04-01,2116.0
T11187,2007-05-01,2134.0
T11187,2007-06-01,2137.0
T11187,2007-07-01,2118.0
T11187,2007-08-01,2107.0
T11187,2007-09-01,2115.0
T11187,2007-10-01,2129.0
T11187,2007-11-01,2137.0
T11187,2007-12-01,2141.0
T11187,2008-01-01,2064.0
T11187,2008-02-01,2078.0
T11187,2008-03-01,2100.0
T11187,2008-04-01,2133.0
T11187,2008-05-01,2141.0
T11187,2008-06-01,2135.0
T11187,2008-07-01,2118.0
T11187,2008-08-01,2110.0
T11187,2008-09-01,2126.0
T11187,2008-10-01,2133.0
T11187,2008-11-01,2114.0
T11187,2008-12-01,2108.0
T11187,2009-01-01,2035.0
T11187,2009-02-01,2042.0
T11187,2009-03-01,2053.0
T11187,2009-04-01,2079.0
T11187,2009-05-01,2083.0
T11187,2009-06-01,2072.0
T11187,2009-07-01,2056.0
T11187,2009-08-01,2051.0
T11187,2009-09-01,2065.0
T11187,2009-10-01,2075.0
T11187,2009-11-01,2069.0
T11187,2009-12-01,2070.0
T11187,2010-01-01,2012.0
T11187,2010-02-01,2025.0
T11187,2010-03-01,2041.0
T11187,2010-04-01,2079.0
T11187,2010-05-01,2093.0
T11187,2010-06-01,2083.0
T11187,2010-07-01,2088.0
T11187,2010-08-01,2078.0
T11187,2010-09-01,2092.0
T11187,2010-10-01,2115.0
T11187,2010-11-01,2109.0
T11187,2010-12-01,2106.0
T11187,2011-01-01,2047.0
T11187,2011-02-01,2055.0
T11187,2011-03-01,2069.0
T11187,2011-04-01,2111.0
T11187,2011-05-01,2113.0
T11187,2011-06-01,2116.0
T11187,2011-07-01,2114.0
T11187,2011-08-01,2100.0
T11187,2011-09-01,2125.0
T11187,2011-10-01,2127.0
T11187,2011-11-01,2112.0
T11187,2011-12-01,2119.0
T11187,2012-01-01,2071.0
T11187,2012-02-01,2077.0
T11187,2012-03-01,2114.0
T11187,2012-04-01,2148.0
T11187,2012-05-01,2158.0
T11187,2012-06-01,2171.0
T11187,2012-07-01,2134.0
T11187,2012-08-01,2129.0
T11187,2012-09-01,2145.0
T11187,2012-10-01,2155.0
T11187,2012-11-01,2153.0
T11187,2012-12-01,2148.0
T11187,2013-01-01,2095.0
T11187,2013-02-01,2109.0
T11187,2013-03-01,2124.0
T11187,2013-04-01,2175.0
T11187,2013-05-01,2180.0
T11187,2013-06-01,2184.0
T11187,2013-07-01,2170.0
T11187,2013-08-01,2174.0
T11187,2013-09-01,2188.0
T11187,2013-10-01,2202.0
T11187,2013-11-01,2196.0
T11187,2013-12-01,2206.0
T11187,2014-01-01,2131.0
T11187,2014-02-01,2147.0
T11187,2014-03-01,2164.0
T11187,2014-04-01,2223.0
T11187,2014-05-01,2228.0
T11187,2014-06-01,2232.0
T11187,2014-07-01,2222.0
T11187,2014-08-01,2224.0
T11187,2014-09-01,2223.0
T11187,2014-10-01,2253.0
T11187,2014-11-01,2250.0
T11187,2014-12-01,2252.0
T11187,2015-01-01,2192.0
T11187,2015-02-01,2199.0
T11187,2015-03-01,2212.0
T11187,2015-04-01,2255.0
T11187,2015-05-01,2272.0
T11187,2015-06-01,2274.0
T11187,2015-07-01,2256.0
T11187,2015-08-01,2253.0
T11187,2015-09-01,2255.0
T11187,2015-10-01,2286.0
T11187,2015-11-01,2275.0
T11187,2015-12-01,2260.0
T11187,2016-01-01,2205.0
T11187,2016-02-01,2211.0
T11187,2016-03-01,2227.0
T11187,2016-04-01,2282.0
T11187,2016-05-01,2286.0
T11187,2016-06-01,2288.0
T11187,2016-07-01,2302.0
T11187,2016-08-01,2318.0
T11187,2016-09-01,2321.0
T11187,2016-10-01,2339.0
T11187,2016-11-01,2333.0
T11187,2016-12-01,2328.0
T11230,2003-07-01,1481.0
T11230,2003-08-01,1480.0
T11230,2003-09-01,1490.0
T11230,2003-10-01,1493.0
T11230,2003-11-01,1504.0
T11230,2003-12-01,1510.0
T11230,2004-01-01,1511.0
T11230,2004-02-01,1537.0
T11230,2004-03-01,1551.0
T11230,2004-04-01,1561.0
T11230,2004-05-01,1565.0
T11230,2004-06-01,1566.0
T11230,2004-07-01,1562.0
T11230,2004-08-01,1555.0
T11230,2004-09-01,1540.0
T11230,2004-10-01,1565.0
T11230,2004-11-01,1590.0
T11230,2004-12-01,1608.0
T11230,2005-01-01,1590.0
T11230,2005-02-01,1613.0
T11230,2005-03-01,1623.0
T11230,2005-04-01,1632.0
T11230,2005-05-01,1631.0
T11230,2005-06-01,1628.0
T11230,2005-07-01,1626.0
T11230,2005-08-01,1624.0
T11230,2005-09-01,1632.0
T11230,2005-10-01,1627.0
T11230,2005-11-01,1644.0
T11230,2005-12-01,1649.0
T11230,2006-01-01,1624.0
T11230,2006-02-01,1647.0
T11230,2006-03-01,1669.0
T11230,2006-04-01,1667.0
T11230,2006-05-01,1665.0
T11230,2006-06-01,1656.0
T11230,2006-07-01,1641.0
T11230,2006-08-01,1636.0
T11230,2006-09-01,1634.0
T11230,2006-10-01,1628.0
T11230,2006-11-01,1634.0
T11230,2006-12-01,1626.0
T11230,2007-01-01,1592.0
T11230,2007-02-01,1627.0
T11230,2007-03-01,1650.0
T11230,2007-04-01,1642.0
T11230,2007-05-01,1634.0
T11230,2007-06-01,1627.0
T11230,2007-07-01,1617.0
T11230,2007-08-01,1610.0
T11230,2007-09-01,1610.0
T11230,2007-10-01,1608.0
T11230,2007-11-01,1618.0
T11230,2007-12-01,1616.0
T11230,2008-01-01,1585.0
T11230,2008-02-01,1624.0
T11230,2008-03-01,1614.0
T11230,2008-04-01,1586.0
T11230,2008-05-01,1580.0
T11230,2008-06-01,1574.0
T11230,2008-07-01,1564.0
T11230,2008-08-01,1551.0
T11230,2008-09-01,1552.0
T11230,2008-10-01,1545.0
T11230,2008-11-01,1536.0
T11230,2008-12-01,1533.0
T11230,2009-01-01,1495.0
T11230,2009-02-01,1513.0
T11230,2009-03-01,1509.0
T11230,2009-04-01,1497.0
T11230,2009-05-01,1489.0
T11230,2009-06-01,1480.0
T11230,2009-07-01,1472.0
T11230,2009-08-01,1464.0
T11230,2009-09-01,1459.0
T11230,2009-10-01,1468.0
T11230,2009-11-01,1467.0
T11230,2009-12-01,1473.0
T11230,2010-01-01,1439.0
T11230,2010-02-01,1476.0
T11230,2010-03-01,1482.0
T11230,2010-04-01,1481.0
T11230,2010-05-01,1470.0
T11230,2010-06-01,1463.0
T11230,2010-07-01,1454.0
T11230,2010-08-01,1450.0
T11230,2010-09-01,1445.0
T11230,2010-10-01,1464.0
T11230,2010-11-01,1458.0
T11230,2010-12-01,1459.0
T11230,2011-01-01,1449.0
T11230,2011-02-01,1469.0
T11230,2011-03-01,1490.0
T11230,2011-04-01,1496.0
T11230,2011-05-01,1493.0
T11230,2011-06-01,1488.0
T11230,2011-07-01,1480.0
T11230,2011-08-01,1476.0
T11230,2011-09-01,1475.0
T11230,2011-10-01,1482.0
T11230,2011-11-01,1488.0
T11230,2011-12-01,1479.0
T11230,2012-01-01,1469.0
T11230,2012-02-01,1492.0
T11230,2012-03-01,1520.0
T11230,2012-04-01,1519.0
T11230,2012-05-01,1517.0
T11230,2012-06-01,1517.0
T11230,2012-07-01,1499.0
T11230,2012-08-01,1502.0
T11230,2012-09-01,1502.0
T11230,2012-10-01,1506.0
T11230,2012-11-01,1518.0
T11230,2012-12-01,1514.0
T11230,2013-01-01,1492.0
T11230,2013-02-01,1515.0
T11230,2013-03-01,1539.0
T11230,2013-04-01,1543.0
T11230,2013-05-01,1542.0
T11230,2013-06-01,1537.0
T11230,2013-07-01,1537.0
T11230,2013-08-01,1539.0
T11230,2013-09-01,1542.0
T11230,2013-10-01,1559.0
T11230,2013-11-01,1571.0
T11230,2013-12-01,1569.0
T11230,2014-01-01,1543.0
T11230,2014-02-01,1579.0
T11230,2014-03-01,1591.0
T11230,2014-04-01,1591.0
T11230,2014-05-01,1597.0
T11230,2014-06-01,1585.0
T11230,2014-07-01,1586.0
T11230,2014-08-01,1586.0
T11230,2014-09-01,1587.0
T11230,2014-10-01,1595.0
T11230,2014-11-01,1612.0
T11230,2014-12-01,1613.0
T11230,2015-01-01,1597.0
T11230,2015-02-01,1629.0
T11230,2015-03-01,1644.0
T11230,2015-04-01,1652.0
T11230,2015-05-01,1651.0
T11230,2015-06-01,1642.0
T11230,2015-07-01,1642.0
T11230,2015-08-01,1645.0
T11230,2015-09-01,1646.0
T11230,2015-10-01,1658.0
T11230,2015-11-01,1674.0
T11230,2015-12-01,1683.0
T11230,2016-01-01,1670.0
T11230,2016-02-01,1691.0
T11230,2016-03-01,1706.0
T11230,2016-04-01,1716.0
T11230,2016-05-01,1721.0
T11230,2016-06-01,1721.0
T11230,2016-07-01,1716.0
T11230,2016-08-01,1733.0
T11230,2016-09-01,1734.0
T11230,2016-10-01,1746.0
T11230,2016-11-01,1758.0
T11230,2016-12-01,1749.0
T11398,2003-07-01,3620.0
T11398,2003-08-01,3650.0
T11398,2003-09-01,3660.0
T11398,2003-10-01,3620.0
T11398,2003-11-01,3670.0
T11398,2003-12-01,3690.0
T11398,2004-01-01,3590.0
T11398,2004-02-01,3580.0
T11398,2004-03-01,3630.0
T11398,2004-04-01,3630.0
T11398,2004-05-01,3600.0
T11398,2004-06-01,3650.0
T11398,2004-07-01,3640.0
T11398,2004-08-01,3650.0
T11398,2004-09-01,3640.0
T11398,2004-10-01,3630.0
T11398,2004-11-01,3660.0
T11398,2004-12-01,3620.0
T11398,2005-01-01,3620.0
T11398,2005-02-01,3620.0
T11398,2005-03-01,3620.0
T11398,2005-04-01,3680.0
T11398,2005-05-01,3680.0
T11398,2005-06-01,3700.0
T11398,2005-07-01,3700.0
T11398,2005-08-01,3700.0
T11398,2005-09-01,3720.0
T11398,2005-10-01,3700.0
T11398,2005-11-01,3710.0
T11398,2005-12-01,3700.0
T11398,2006-01-01,3480.0
T11398,2006-02-01,3500.0
T11398,2006-03-01,3530.0
T11398,2006-04-01,3560.0
T11398,2006-05-01,3540.0
T11398,2006-06-01,3560.0
T11398,2006-07-01,3580.0
T11398,2006-08-01,3580.0
T11398,2006-09-01,3590.0
T11398,2006-10-01,3580.0
T11398,2006-11-01,3600.0
T11398,2006-12-01,3580.0
T11398,2007-01-01,3500.0
T11398,2007-02-01,3480.0
T11398,2007-03-01,3480.0
T11398,2007-04-01,3510.0
T11398,2007-05-01,3510.0
T11398,2007-06-01,3540.0
T11398,2007-07-01,3500.0
T11398,2007-08-01,3510.0
T11398,2007-09-01,3510.0
T11398,2007-10-01,3530.0
T11398,2007-11-01,3550.0
T11398,2007-12-01,3580.0
T11398,2008-01-01,3430.0
T11398,2008-02-01,3440.0
T11398,2008-03-01,3420.0
T11398,2008-04-01,3430.0
T11398,2008-05-01,3440.0
T11398,2008-06-01,3450.0
T11398,2008-07-01,3420.0
T11398,2008-08-01,3420.0
T11398,2008-09-01,3440.0
T11398,2008-10-01,3420.0
