series,day,value
T1098,1218,4888.4
T1098,1219,4880.6
T1098,1220,4878.7
T1098,1221,4926.8
T1098,1222,4886.8
T1098,1223,4898.2
T1098,1224,4901.8
T1098,1225,4908.5
T1098,1226,4931.1
T1098,1227,4942.9
T1098,1228,4902.1
T1098,1229,4909.8
T1098,1230,5026.6
T1098,1231,5046.3
T1098,1232,5116.5
T1098,1233,5089.0
T1098,1234,5107.6
T1098,1235,5099.2
T1098,1236,5102.5
T1098,1237,5106.1
T1098,1238,5024.5
T1098,1239,5008.9
T1098,1240,5113.8
T1098,1241,5131.7
T1098,1242,5163.8
T1098,1243,5211.5
T1098,1244,5261.8
T1098,1245,5338.0
T1098,1246,5366.0
T1098,1247,5362.7
T1098,1248,5326.5
T1098,1249,5310.1
T1098,1250,5262.4
T1098,1251,5295.9
T1102,640,5919.6
T1102,641,5924.4
T1102,642,5855.2
T1102,643,5842.0
T1102,644,5837.6
T1102,645,5890.0
T1102,646,5815.3
T1102,647,5856.4
T1102,648,5931.5
T1102,649,5882.6
T1102,650,5967.8
T1102,651,5970.7
T1102,652,5934.1
T1102,653,5910.5
T1102,654,5991.4
T1102,655,5999.8
T1102,656,5966.0
T1102,657,6059.9
T1102,658,6121.4
T1102,659,6186.1
T1102,660,6026.6
T1102,661,6122.9
T1102,662,6096.7
T1102,663,6020.7
T1102,664,6027.6
T1102,665,6047.3
T1102,666,6084.6
T1102,667,6090.2
T1102,668,6012.3
T1102,669,6012.6
T1102,670,6032.7
T1102,671,6051.6
T1102,672,5938.8
T1102,673,5966.5
T1102,674,5896.9
T1102,675,5897.8
T1102,676,5918.3
T1102,677,5932.6
T1102,678,5901.2
T1102,679,5899.2
T1102,680,5927.8
T1102,681,5949.3
T1102,682,5909.8
T1102,683,5872.1
T1102,684,5855.8
T1102,685,5859.6
T1102,686,5901.9
T1102,687,5899.5
T1102,688,5980.5
T1102,689,6009.4
T1102,690,6131.1
T1102,691,6157.3
T1102,692,6097.1
T1102,693,6106.1
T1102,694,6076.0
T1102,695,6218.6
T1102,696,6172.7
T1102,697,6184.5
T1102,698,6142.6
T1102,699,6130.1
T1102,700,6091.5
T1102,701,6129.5
T1102,702,6105.4
T1102,703,6186.7
T1102,704,6312.4
T1102,705,6284.2
T1102,706,6123.1
T1102,707,6142.2
T1102,708,6118.1
T1102,709,5967.1
T1102,710,5928.3
T1102,711,5962.1
T1102,712,6048.4
T1102,713,5976.0
T1102,714,6047.4
T1102,715,6103.4
T1102,716,6110.1
T1102,717,6116.3
T1102,718,6122.7
T1102,719,6297.4
T1102,720,6219.7
T1102,721,6297.5
T1102,722,6431.0
T1102,723,6529.3
T1102,724,6375.3
T1102,725,6373.2
T1102,726,6357.9
T1102,727,6363.7
T1102,728,6361.6
T1102,729,6328.3
T1102,730,6409.1
T1102,731,6422.7
T1102,732,6291.0
T1102,733,6310.5
T1102,734,6488.9
T1102,735,6443.0
T1102,736,6387.7
T1102,737,6242.8
T1102,738,6036.8
T1102,739,5983.0
T1102,740,5858.5
T1102,741,5980.3
T1102,742,6043.4
T1102,743,6039.2
T1102,744,5962.0
T1102,745,5867.7
T1102,746,5792.3
T1102,747,5750.6
T1102,748,5893.8
T1102,749,5857.9
T1102,750,5949.3
T1102,751,5929.3
T1102,752,5985.0
T1102,753,6108.8
T1102,754,6044.8
T1102,755,6013.0
T1102,756,5962.2
T1102,757,6018.1
T1102,758,5945.6
T1102,759,5928.9
T1102,760,5892.4
T1102,761,5853.5
T1102,762,5847.2
T1102,763,5907.6
T1102,764,5889.3
T1102,765,5816.1
T1102,766,5745.6
T1102,767,5785.4
T1102,768,5808.7
T1102,769,5855.1
T1102,770,5920.0
T1102,771,5819.4
T1102,772,5839.4
T1102,773,5763.7
T1102,774,5774.2
T1102,775,5847.5
T1102,776,5920.1
T1102,777,5808.8
T1102,778,5647.8
T1102,779,5516.5
T1102,780,5502.9
T1102,781,5498.7
T1102,782,5515.0
T1102,783,5474.5
T1102,784,5472.1
T1102,785,5522.3
T1102,786,5670.5
T1102,787,5581.0
T1102,788,5600.2
T1102,789,5638.5
T1102,790,5725.7
T1102,791,5818.1
T1102,792,5939.7
T1102,793,5967.4
T1102,794,5883.9
T1102,795,5949.9
T1102,796,5912.1
T1102,797,5989.9
T1102,798,6023.6
T1102,799,5956.8
T1102,800,5827.4
T1102,801,5832.3
T1102,802,5813.7
T1102,803,5850.1
T1102,804,5856.7
T1102,805,5858.3
T1102,806,5927.1
T1102,807,5910.7
T1102,808,5846.5
T1102,809,5865.2
T1102,810,5970.7
T1102,811,5935.1
T1102,812,6043.1
T1102,813,5995.6
T1102,814,5992.9
T1102,815,5973.6
T1102,816,5983.8
T1102,817,5879.0
T1102,818,5984.1
T1102,819,5983.5
T1102,820,5966.7
T1102,821,5926.2
T1102,822,5893.3
T1102,823,5890.6
T1102,824,5854.9
T1102,825,5907.7
T1102,826,5895.3
T1102,827,5914.0
T1102,828,5846.7
T1102,829,5792.1
T1102,830,5700.7
T1102,831,5635.4
T1102,832,5695.3
T1102,833,5674.7
T1102,834,5798.8
T1102,835,5820.0
T1102,836,5765.0
T1102,837,5789.2
T1102,838,5722.7
T1102,839,5791.3
T1102,840,5723.4
T1102,841,5645.4
T1102,842,5720.5
T1102,843,5619.2
T1102,844,5618.7
T1102,845,5671.7
T1102,846,5722.8
T1102,847,5733.7
T1102,848,5710.2
T1102,849,5745.5
T1102,850,5705.3
T1102,851,5714.5
T1102,852,5689.2
T1102,853,5712.4
T1102,854,5699.5
T1102,855,5660.1
T1102,856,5641.2
T1102,857,5652.2
T1102,858,5812.0
T1102,859,5839.5
T1102,860,5811.9
T1102,861,5837.2
T1102,862,5804.8
T1102,863,5805.2
T1102,864,5905.5
T1102,865,5959.3
T1102,866,5957.0
T1102,867,5862.8
T1102,868,5853.1
T1102,869,5908.4
T1102,870,5866.3
T1102,871,5936.4
T1102,872,5809.5
T1102,873,5779.2
T1102,874,5760.4
T1102,875,5753.2
T1102,876,5744.9
T1102,877,5774.6
T1102,878,5771.0
T1102,879,5813.6
T1102,880,5808.1
T1102,881,5768.9
T1102,882,5728.8
T1102,883,5697.8
T1102,884,5717.5
T1102,885,5690.3
T1102,886,5604.5
T1102,887,5544.0
T1102,888,5548.5
T1102,889,5607.3
T1102,890,5618.6
T1102,891,5656.6
T1102,892,5669.0
T1102,893,5682.5
T1102,894,5675.8
T1102,895,5631.4
T1102,896,5682.1
T1102,897,5748.6
T1102,898,5750.6
T1102,899,5726.7
T1102,900,5744.9
T1102,901,5764.5
T1102,902,5849.9
T1102,903,5820.4
T1102,904,5896.0
T1102,905,5946.2
T1102,906,5958.0
T1102,907,6011.8
T1102,908,6069.1
T1102,909,6066.5
T1102,910,6071.9
T1102,911,6109.3
T1102,912,6252.3
T1102,913,6214.1
T1102,914,6176.8
T1102,915,6115.9
T1102,916,6148.8
T1102,917,6237.0
T1102,918,6322.0
T1102,919,6321.9
T1102,920,6289.9
T1102,921,6346.5
T1102,922,6382.7
T1102,923,6399.6
T1102,924,6392.7
T1102,925,6412.8
T1102,926,6338.6
T1102,927,6287.2
T1102,928,6311.6
T1102,929,6401.3
T1102,930,6374.9
T1102,931,6402.3
T1102,932,6318.5
T1102,933,6252.1
T1102,934,6288.4
T1102,935,6249.7
T1102,936,6273.5
T1102,937,6373.6
T1102,938,6422.8
T1102,939,6418.2
T1102,940,6400.7
T1102,941,6410.8
T1102,942,6402.4
T1102,943,6466.3
T1102,944,6412.0
T1102,945,6367.2
T1102,946,6360.3
T1102,947,6338.4
T1102,948,6406.8
T1102,949,6422.6
T1102,950,6513.5
T1102,951,6435.8
T1102,952,6464.9
T1102,953,6482.3
T1102,954,6476.7
T1102,955,6416.7
T1102,956,6433.9
T1102,957,6489.3
T1102,958,6496.9
T1102,959,6568.9
T1102,960,6555.7
T1102,961,6537.3
T1102,962,6619.3
T1102,963,6653.4
T1102,964,6658.0
T1102,965,6669.5
T1102,966,6739.5
T1102,967,6705.9
T1102,968,6667.1
T1102,969,6636.2
T1102,970,6634.8
T1102,971,6658.3
T1102,972,6677.5
T1102,973,6731.1
T1102,974,6743.3
T1102,975,6790.3
T1102,976,6867.9
T1102,977,6924.0
T1102,978,6854.2
T1102,979,6843.9
T1102,980,6890.4
T1102,981,6945.4
T1102,982,6919.5
T1102,983,6881.8
T1102,984,6871.9
T1102,985,6963.2
T1102,986,6972.5
T1102,987,7019.8
T1102,988,7009.6
T1102,989,6934.0
T1102,990,6988.7
T1102,991,6931.0
T1102,992,6905.3
T1102,993,6872.4
T1102,994,6793.1
T1102,995,6765.9
T1102,996,6736.2
T1102,997,6799.6
T1102,998,6706.1
T1102,999,6754.7
T1102,1000,6707.3
T1102,1001,6702.3
T1102,1002,6723.0
T1102,1003,6748.5
T1102,1004,6760.8
T1102,1005,6609.0
T1102,1006,6675.1
T1102,1007,6736.3
T1102,1008,6732.2
T1102,1009,6741.1
T1102,1010,6769.5
T1102,1011,6697.9
T1102,1012,6754.3
T1102,1013,6687.6
T1102,1014,6665.5
T1102,1015,6582.9
T1102,1016,6592.7
T1102,1017,6599.7
T1102,1018,6632.6
T1102,1019,6566.2
T1102,1020,6474.9
T1102,1021,6442.1
T1102,1022,6303.9
T1102,1023,6284.4
T1102,1024,6270.5
T1102,1025,6265.1
T1102,1026,6355.2
T1102,1027,6418.2
T1102,1028,6466.1
T1102,1029,6442.5
T1102,1030,6441.9
T1102,1031,6422.9
T1102,1032,6370.3
T1102,1033,6256.2
T1102,1034,6200.0
T1102,1035,6210.1
T1102,1036,6260.7
T1102,1037,6372.7
T1102,1038,6376.2
T1102,1039,6370.3
T1102,1040,6425.9
T1102,1041,6380.1
T1102,1042,6370.1
T1102,1043,6361.7
T1102,1044,6375.8
T1102,1045,6243.3
T1102,1046,6267.4
T1102,1047,6313.6
T1102,1048,6302.9
T1102,1049,6278.1
T1102,1050,6291.6
T1102,1051,6263.8
T1102,1052,6205.1
T1102,1053,6180.4
T1102,1054,6096.2
T1102,1055,6116.4
T1102,1056,6151.4
T1102,1057,6191.0
T1102,1058,6251.9
T1102,1059,6174.7
T1102,1060,6245.6
T1102,1061,6292.6
T1102,1062,6255.6
T1102,1063,6223.7
T1102,1064,6207.6
T1102,1065,6177.5
T1102,1066,6196.3
T1102,1067,6209.0
T1102,1068,6172.6
T1102,1069,6089.7
T1102,1070,6097.7
T1102,1071,6020.9
T1102,1072,6066.9
T1102,1073,6180.3
T1102,1074,6271.2
T1102,1075,6162.3
T1102,1076,6191.4
T1102,1077,6181.0
T1102,1078,6188.8
T1102,1079,6227.4
T1102,1080,6239.6
T1102,1081,6249.8
T1102,1082,6232.3
T1102,1083,6186.2
T1102,1084,6162.9
T1102,1085,6197.7
T1102,1086,6241.9
T1102,1087,6265.3
T1102,1088,6304.9
T1102,1089,6376.6
T1102,1090,6394.4
T1102,1091,6379.8
T1102,1092,6301.0
T1102,1093,6318.8
T1102,1094,6352.8
T1102,1095,6436.3
T1102,1096,6436.6
T1102,1097,6397.9
T1102,1098,6357.3
T1102,1099,6326.9
T1102,1100,6328.3
T1102,1101,6245.3
T1102,1102,6281.9
T1102,1103,6341.3
T1102,1104,6287.9
T1102,1105,6307.8
T1102,1106,6275.7
T1102,1107,6265.3
T1102,1108,6229.6
T1102,1109,6173.4
T1102,1110,6259.5
T1102,1111,6383.4
T1102,1112,6413.7
T1102,1113,6422.3
T1102,1114,6310.3
T1102,1115,6281.4
T1102,1116,6310.2
T1102,1117,6216.8
T1102,1118,6174.8
T1102,1119,6199.6
T1102,1120,6146.5
T1102,1121,6148.6
T1102,1122,6109.8
T1102,1123,6119.8
T1102,1124,6124.1
T1102,1125,6044.4
T1102,1126,6018.9
T1102,1127,6091.5
T1102,1128,6058.0
T1102,1129,6102.3
T1102,1130,6071.1
T1102,1131,6129.3
T1102,1132,6089.3
T1102,1133,6195.6
T1102,1134,6137.8
T1102,1135,6166.3
T1102,1136,6176.2
T1102,1137,6132.0
T1102,1138,6140.3
T1102,1139,6119.0
T1102,1140,6049.7
T1102,1141,6130.9
T1102,1142,6093.6
T1102,1143,6017.0
T1102,1144,5933.0
T1102,1145,5948.5
T1102,1146,5941.4
T1102,1147,5994.0
T1102,1148,6024.9
T1102,1149,6002.2
T1102,1150,5907.7
T1102,1151,5872.9
T1102,1152,5903.3
T1102,1153,5904.1
T1102,1154,5893.7
T1102,1155,5903.1
T1102,1156,5800.3
T1102,1157,5784.6
T1102,1158,5829.6
T1102,1159,5810.7
T1102,1160,5852.6
T1102,1161,5887.4
T1102,1162,5890.4
T1102,1163,5870.5
T1102,1164,5836.4
T1102,1165,5864.9
T1102,1166,5891.6
T1102,1167,5910.1
T1102,1168,5875.0
T1102,1169,5927.1
T1102,1170,5874.5
T1102,1171,5888.7
T1102,1172,5942.4
T1102,1173,5940.4
T1102,1174,5950.0
T1102,1175,5991.2
T1102,1176,5982.7
T1102,1177,6017.0
T1102,1178,5969.8
T1102,1179,6030.5
T1102,1180,6054.4
T1102,1181,6152.6
T1102,1182,6138.4
T1102,1183,6178.1
T1102,1184,6200.7
T1102,1185,6363.4
T1102,1186,6349.3
T1102,1187,6272.5
T1102,1188,6252.5
T1102,1189,6233.3
T1102,1190,6261.9
T1102,1191,6286.0
T1102,1192,6304.5
T1102,1193,6316.1
T1102,1194,6255.7
T1102,1195,6433.2
T1102,1196,6541.7
T1102,1197,6523.7
T1102,1198,6584.0
T1102,1199,6593.9
T1102,1200,6567.5
T1102,1201,6585.7
T1102,1202,6533.4
T1102,1203,6475.3
T1102,1204,6425.5
T1102,1205,6356.4
T1102,1206,6402.2
T1102,1207,6338.2
T1102,1208,6396.5
T1102,1209,6397.9
T1102,1210,6451.8
T1102,1211,6446.1
T1102,1212,6390.9
T1102,1213,6403.2
T1102,1214,6437.9
T1102,1215,6502.9
T1102,1216,6429.0
T1102,1217,6386.8
T1102,1218,6403.3
T1102,1219,6393.2
T1102,1220,6390.7
T1102,1221,6453.7
T1102,1222,6401.3
T1102,1223,6416.2
T1102,1224,6420.8
T1102,1225,6429.6
T1102,1226,6459.3
T1102,1227,6474.8
T1102,1228,6421.3
T1102,1229,6431.4
T1102,1230,6584.3
T1102,1231,6610.2
T1102,1232,6702.2
T1102,1233,6666.1
T1102,1234,6690.5
T1102,1235,6679.5
T1102,1236,6683.9
T1102,1237,6688.5
T1102,1238,6581.7
T1102,1239,6561.2
T1102,1240,6698.6
T1102,1241,6722.0
T1102,1242,6764.1
T1102,1243,6826.5
T1102,1244,6892.5
T1102,1245,6992.3
T1102,1246,7028.9
T1102,1247,7024.6
T1102,1248,6977.2
T1102,1249,6955.8
T1102,1250,6893.3
T1102,1251,6937.2
T1120,640,6296.8
