model_category,dataset_num,name,title,description,frequency,forecast_length,use_dataset,is_smoke_test,encoding
forecasting,11,m4_daily_miscellaneous_50,M4 Forecasting Competition Sampled Daily Series - 50 Percent,"This is a variation of the M4 Forecasting Competition Sampled Daily Seriesdataset. In this variation, 50% of the latest epochs from the original timeseries are retained. This dataset comprises 60 timeseries at daily frequency, each spanning 1280 days, randomly sampled from the M4 forecasting competition. These series provide a consistent length of historical window and are ideal for exploring trends and seasonalities of various kinds such as day-of-week, day-of-month, day-of-year, etc. The M4 dataset contains 
series drawn from across various sectors.",DAILY,28,1,0,utf-8
forecasting,12,m4_hourly_miscellaneous_50,M4 Forecasting Competition Sampled Hourly Series - 50 Percent,"This is a variation of the M4 Forecasting Competition Sampled Hourly Seriesdataset. In this variation, 50% of the latest epochs from the original timeseries are retained. This dataset is a curated collection of 35 unique hourly time series, each with a length of 748 data points, sampled from the diverse and comprehensive series presented in the M4 forecasting competition. Encompassing a range of domains including finance, retail, and energy, these uni-variate series are selected for their variety and the richness they offer to hourly frequency forecasting tasks, despite originating from non-uniform time windows.",HOURLY,120,1,0,utf-8
forecasting,13,m4_monthly_miscellaneous_50,M4 Forecasting Competition Sampled Monthly Series - 50 Percent,"This is a variation of the M4 Forecasting Competition Sampled Monthly Seriesdataset. In this variation, 50% of the latest epochs from the original timeseries are retained. This dataset comprises 80 timeseries at monthly frequency, each spanning 324 months, randomly sampled from the M4 forecasting competition. These series provide a consistent length of historical window and are ideal for exploring long-term trends and seasonalities. The M4 dataset contains series drawn from across various sectors.",MONTHLY,24,1,0,utf-8
forecasting,14,m4_quarterly_miscellaneous_50,M4 Forecasting Competition Sampled Quarterly Series - 50 Percent,"This is a variation of the M4 Forecasting Competition Sampled Quarterly Seriesdataset. In this variation, 50% of the latest epochs from the original timeseries are retained. This dataset comprises 75 quarterly time series, each spanning March 1998 to June 2017, randomly sampled from the M4 forecasting competition. These series provide a consistent historical window and are ideal for exploring long-term trends and forecasting challenges on quarterly-frequency series drawn from across various sectors.",QUARTERLY,12,1,0,utf-8
forecasting,15,m4_yearly_miscellaneous_50,M4 Forecasting Competition Sampled Yearly Series - 50 Percent,"This is a variation of the M4 Forecasting Competition Sampled Yearly Seriesdataset. In this variation, 50% of the latest epochs from the original timeseries are retained. This dataset comprises 100 yearly time series, each spanning 46 years from 1970 to 2015, meticulously sampled from the M4 forecasting competition. These series provide a consistent historical window and are ideal for exploring long-term trends and forecasting challenges across various sectors.",YEARLY,6,1,0,utf-8
forecasting,16,online_retail_sales_50,Online Retail Sales - 50 Percent,"This is a variation of the Online Retail Salesdataset. In this variation, 50% of the latest epochs from the original timeseries are retained. The `Online Retail Sales` dataset aggregates daily transactions from a UK-based online retailer, focusing on the top 40 items by sales over a two-year period from 2018 to 2019. It provides insights into daily order counts and total sales per item, offering a granular view of consumer purchasing patterns and item performance within the niche market of unique all-occasion gifts. This dataset is particularly useful for retail trend analysis, inventory forecasting, and understanding seasonal impacts on e-commerce.",DAILY,28,1,0,utf-8
forecasting,17,pjm_energy_consumption_50,PJM Hourly Energy Consumption - 50 Percent,"This is a variation of the PJM Hourly Energy Consumptiondataset. In this variation, 50% of the latest epochs from the original timeseries are retained. This dataset contains data related to hourly level energy consumption in regions served by PJM Interconnection LLC (PJM). ",HOURLY,120,1,0,utf-8
forecasting,18,seattle_burke_gilman_trail_50,Seattle Burke Gilman Trail - 50 Percent,"This is a variation of the Seattle Burke Gilman Traildataset. In this variation, 50% of the latest epochs from the original timeseries are retained. This dataset contains hourly level pedestrian and bicycle counts at the Burke Gilman Trail in Seattle. 
There are a total of 4 series in the dataset for the pedestrian and bike counts in each direction (north-bound and south-bound). The data is filtered to cover the date range from 1/1/2017 to 7/31/2017. This dataset is useful for timeseries analysis involving short-term seasonalities, especially intra-day (hour-of-the-day) and intra-week (day-of-the-week) seasonalities. The dataset contains some extreme outliers, presumably due to one-off special events at the trail locations. ",HOURLY,120,1,0,utf-8
forecasting,19,sunspots_50,Sunspots - 50 Percent,"This is a variation of the Sunspotsdataset. In this variation, 50% of the latest epochs from the original timeseries are retained. The Sunspots dataset consists of observations of the number of sunspots on the Sun, recorded each month. It spans the time period from January 1749 to December 1983, providing a long-term view of solar activity. This dataset is invaluable for time series analysis and forecasting due to its longevity, regularity, and the clear cyclical patterns it presents, which are reflective of the approximately 11-year solar cycle. Researchers and analysts commonly use this dataset to practice and test forecasting models, including ARIMA, exponential smoothing, and more modern machine learning approaches. The dataset's extensive history makes it particularly suitable for studying long-term trends and cyclic behavior in solar activity, offering insights into past solar cycles and helping predict future solar phenomena.",MONTHLY,24,1,0,utf-8
forecasting,20,theme_park_attendance_50,Theme Park Attendance - 50 Percent,"This is a variation of the Theme Park Attendancedataset. In this variation, 50% of the latest epochs from the original timeseries are retained. This dataset represents synthetic daily attendance at a fictitious theme park in Los Angeles from 2016 to 2019. It is ideal for time series forecasting, showcasing the impact of annual and weekly seasonality, exogenous variables such as holidays and weather, and random fluctuations on attendance numbers.",DAILY,28,1,0,utf-8
forecasting,21,air_quality_kdd_2018_75,Air Quality KDD 2018 - 75 Percent,"This is a variation of the Air Quality KDD 2018dataset. In this variation, 75% of the latest epochs from the original timeseries are retained. HOURLY",HOURLY,120,1,0,utf-8
forecasting,22,airline_passengers_75,Airline Passengers - 75 Percent,"This is a variation of the Airline Passengersdataset. In this variation, 75% of the latest epochs from the original timeseries are retained. MONTHLY",MONTHLY,24,1,0,utf-8
forecasting,23,atmospheric_co2_concentrations_75,Atmospheric CO2 Concentrations - 75 Percent,"This is a variation of the Atmospheric CO2 Concentrationsdataset. In this variation, 75% of the latest epochs from the original timeseries are retained. MONTHLY",MONTHLY,24,1,0,utf-8
forecasting,24,australian_beer_production_75,Australian Beer Production - 75 Percent,"This is a variation of the Australian Beer Productiondataset. In this variation, 75% of the latest epochs from the original timeseries are retained. QUARTERLY",QUARTERLY,12,1,0,utf-8
forecasting,25,avocado_sales_75,Avocado Sales - 75 Percent,"This is a variation of the Avocado Salesdataset. In this variation, 75% of the latest epochs from the original timeseries are retained. WEEKLY",WEEKLY,26,1,0,utf-8
forecasting,26,bank_branch_transactions_75,Bank Branch Transactions - 75 Percent,"This is a variation of the Bank Branch Transactionsdataset. In this variation, 75% of the latest epochs from the original timeseries are retained. WEEKLY",WEEKLY,26,1,0,utf-8
forecasting,27,climate_related_disasters_75,Climate Related Disasters Frequency - 75 Percent,"This is a variation of the Climate Related Disasters Frequencydataset. In this variation, 75% of the latest epochs from the original timeseries are retained. YEARLY",YEARLY,6,1,0,utf-8
forecasting,28,daily_stock_prices_75,Daily Stock Prices  - 75 Percent,"This is a variation of the Daily Stock Prices dataset. In this variation, 75% of the latest epochs from the original timeseries are retained. DAILY",DAILY,28,1,0,utf-8
forecasting,29,daily_weather_75,Daily Weather in 26 World Cities - 75 Percent,"This is a variation of the Daily Weather in 26 World Citiesdataset. In this variation, 75% of the latest epochs from the original timeseries are retained. DAILY",DAILY,28,1,0,utf-8
forecasting,30,gdp_per_capita_growth_75,GDP per Capita Change - 75 Percent,"This is a variation of the GDP per Capita Changedataset. In this variation, 75% of the latest epochs from the original timeseries are retained. YEARLY",YEARLY,6,1,0,utf-8
forecasting,31,m4_daily_miscellaneous_75,M4 Forecasting Competition Sampled Daily Series - 75 Percent,"This is a variation of the M4 Forecasting Competition Sampled Daily Seriesdataset. In this variation, 75% of the latest epochs from the original timeseries are retained. DAILY",DAILY,28,1,0,utf-8
forecasting,32,m4_hourly_miscellaneous_75,M4 Forecasting Competition Sampled Hourly Series - 75 Percent,"This is a variation of the M4 Forecasting Competition Sampled Hourly Seriesdataset. In this variation, 75% of the latest epochs from the original timeseries are retained. HOURLY",HOURLY,120,1,0,utf-8
forecasting,33,m4_monthly_miscellaneous_75,M4 Forecasting Competition Sampled Monthly Series - 75 Percent,"This is a variation of the M4 Forecasting Competition Sampled Monthly Seriesdataset. In this variation, 75% of the latest epochs from the original timeseries are retained. MONTHLY",MONTHLY,24,1,0,utf-8
forecasting,34,m4_quarterly_miscellaneous_75,M4 Forecasting Competition Sampled Quarterly Series - 75 Percent,"This is a variation of the M4 Forecasting Competition Sampled Quarterly Seriesdataset. In this variation, 75% of the latest epochs from the original timeseries are retained. QUARTERLY",QUARTERLY,12,1,0,utf-8
forecasting,35,m4_yearly_miscellaneous_75,M4 Forecasting Competition Sampled Yearly Series - 75 Percent,"This is a variation of the M4 Forecasting Competition Sampled Yearly Seriesdataset. In this variation, 75% of the latest epochs from the original timeseries are retained. YEARLY",YEARLY,6,1,0,utf-8
forecasting,36,online_retail_sales_75,Online Retail Sales - 75 Percent,"This is a variation of the Online Retail Salesdataset. In this variation, 75% of the latest epochs from the original timeseries are retained. DAILY",DAILY,28,1,0,utf-8
forecasting,37,pjm_energy_consumption_75,PJM Hourly Energy Consumption - 75 Percent,"This is a variation of the PJM Hourly Energy Consumptiondataset. In this variation, 75% of the latest epochs from the original timeseries are retained. HOURLY",HOURLY,120,1,0,utf-8
forecasting,38,seattle_burke_gilman_trail_75,Seattle Burke Gilman Trail - 75 Percent,"This is a variation of the Seattle Burke Gilman Traildataset. In this variation, 75% of the latest epochs from the original timeseries are retained. HOURLY",HOURLY,120,1,0,utf-8
forecasting,39,sunspots_75,Sunspots - 75 Percent,"This is a variation of the Sunspotsdataset. In this variation, 75% of the latest epochs from the original timeseries are retained. MONTHLY",MONTHLY,24,1,0,utf-8
forecasting,40,theme_park_attendance_75,Theme Park Attendance - 75 Percent,"This is a variation of the Theme Park Attendancedataset. In this variation, 75% of the latest epochs from the original timeseries are retained. DAILY",DAILY,28,1,0,utf-8
forecasting,41,air_quality_kdd_2018_100,Air Quality KDD 2018 - 100 Percent,Air Quality KDD 2018 - 100 Percent,HOURLY,120,1,0,utf-8
forecasting,42,airline_passengers_100,Airline Passengers - 100 Percent,Airline Passengers - 100 Percent,MONTHLY,24,1,0,utf-8
forecasting,43,atmospheric_co2_concentrations_100,Atmospheric CO2 Concentrations - 100 Percent,Atmospheric CO2 Concentrations - 100 Percent,MONTHLY,24,1,0,utf-8
forecasting,44,australian_beer_production_100,Australian Beer Production - 100 Percent,Australian Beer Production - 100 Percent,QUARTERLY,12,1,0,utf-8
forecasting,45,avocado_sales_100,Avocado Sales - 100 Percent,Avocado Sales - 100 Percent,WEEKLY,26,1,0,utf-8
forecasting,46,bank_branch_transactions_100,Bank Branch Transactions - 100 Percent,Bank Branch Transactions - 100 Percent,WEEKLY,26,1,0,utf-8
forecasting,47,climate_related_disasters_100,Climate Related Disasters Frequency - 100 Percent,Climate Related Disasters Frequency - 100 Percent,YEARLY,6,1,0,utf-8
forecasting,48,daily_stock_prices_100,Daily Stock Prices  - 100 Percent,Daily Stock Prices  - 100 Percent,DAILY,28,1,0,utf-8
forecasting,49,daily_weather_100,Daily Weather in 26 World Cities - 100 Percent,Daily Weather in 26 World Cities - 100 Percent,DAILY,28,1,0,utf-8
forecasting,50,gdp_per_capita_growth_100,GDP per Capita Change - 100 Percent,GDP per Capita Change - 100 Percent,YEARLY,6,1,0,utf-8
forecasting,51,m4_daily_miscellaneous_100,M4 Forecasting Competition Sampled Daily Series - 100 Percent,M4 Forecasting Competition Sampled Daily Series - 100 Percent,DAILY,28,1,0,utf-8
forecasting,52,m4_hourly_miscellaneous_100,M4 Forecasting Competition Sampled Hourly Series - 100 Percent,M4 Forecasting Competition Sampled Hourly Series - 100 Percent,HOURLY,120,1,0,utf-8
forecasting,53,m4_monthly_miscellaneous_100,M4 Forecasting Competition Sampled Monthly Series - 100 Percent,M4 Forecasting Competition Sampled Monthly Series - 100 Percent,MONTHLY,24,1,0,utf-8
forecasting,54,m4_quarterly_miscellaneous_100,M4 Forecasting Competition Sampled Quarterly Series - 100 Percent,M4 Forecasting Competition Sampled Quarterly Series - 100 Percent,QUARTERLY,12,1,0,utf-8
forecasting,55,m4_yearly_miscellaneous_100,M4 Forecasting Competition Sampled Yearly Series - 100 Percent,M4 Forecasting Competition Sampled Yearly Series - 100 Percent,YEARLY,6,1,0,utf-8
forecasting,56,online_retail_sales_100,Online Retail Sales - 100 Percent,Online Retail Sales - 100 Percent,DAILY,28,1,0,utf-8
forecasting,57,pjm_energy_consumption_100,PJM Hourly Energy Consumption - 100 Percent,PJM Hourly Energy Consumption - 100 Percent,HOURLY,120,1,0,utf-8
forecasting,58,seattle_burke_gilman_trail_100,Seattle Burke Gilman Trail - 100 Percent,Seattle Burke Gilman Trail - 100 Percent,HOURLY,120,1,0,utf-8
forecasting,59,sunspots_100,Sunspots - 100 Percent,Sunspots - 100 Percent,MONTHLY,24,1,0,utf-8
forecasting,60,theme_park_attendance_100,Theme Park Attendance - 100 Percent,Theme Park Attendance - 100 Percent,DAILY,28,1,0,utf-8
