Country,Year,Total Disasters,Drought,Extreme temperature,Flood,Landslide,Storm,Wildfire
Argentina,2012-01-01,3.0,0.0,0.0,1.0,0.0,2.0,0.0
Argentina,2013-01-01,2.0,0.0,0.0,1.0,0.0,1.0,0.0
Argentina,2014-01-01,4.0,0.0,0.0,3.0,1.0,0.0,0.0
Argentina,2015-01-01,4.0,0.0,0.0,3.0,0.0,1.0,0.0
Argentina,2016-01-01,2.0,0.0,0.0,2.0,0.0,0.0,0.0
Australia,2001-01-01,9.0,0.0,0.0,4.0,0.0,3.0,2.0
Australia,2002-01-01,5.0,1.0,0.0,0.0,0.0,3.0,1.0
Australia,2003-01-01,10.0,0.0,0.0,4.0,0.0,5.0,1.0
Australia,2004-01-01,6.0,0.0,0.0,3.0,0.0,3.0,0.0
Australia,2005-01-01,4.0,0.0,0.0,1.0,0.0,2.0,1.0
Australia,2006-01-01,8.0,1.0,0.0,1.0,0.0,3.0,3.0
Australia,2007-01-01,2.0,0.0,0.0,1.0,0.0,1.0,0.0
Australia,2008-01-01,5.0,0.0,0.0,4.0,0.0,1.0,0.0
Australia,2009-01-01,6.0,0.0,1.0,2.0,0.0,2.0,1.0
Australia,2010-01-01,8.0,0.0,0.0,5.0,0.0,3.0,0.0
Australia,2011-01-01,3.0,0.0,0.0,1.0,0.0,1.0,1.0
Australia,2012-01-01,2.0,0.0,0.0,2.0,0.0,0.0,0.0
Australia,2013-01-01,3.0,0.0,0.0,0.0,0.0,1.0,2.0
Australia,2014-01-01,4.0,0.0,1.0,0.0,0.0,1.0,2.0
Australia,2015-01-01,8.0,0.0,0.0,1.0,0.0,4.0,3.0
Australia,2016-01-01,3.0,0.0,0.0,1.0,0.0,1.0,1.0
Bolivia,2001-01-01,2.0,0.0,1.0,1.0,0.0,0.0,0.0
Bolivia,2002-01-01,3.0,0.0,0.0,1.0,0.0,1.0,1.0
Bolivia,2003-01-01,4.0,0.0,0.0,3.0,1.0,0.0,0.0
Bolivia,2004-01-01,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Bolivia,2005-01-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Bolivia,2006-01-01,2.0,0.0,0.0,2.0,0.0,0.0,0.0
Bolivia,2007-01-01,3.0,0.0,1.0,2.0,0.0,0.0,0.0
Bolivia,2008-01-01,2.0,1.0,0.0,0.0,0.0,1.0,0.0
Bolivia,2009-01-01,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Bolivia,2010-01-01,4.0,1.0,1.0,1.0,0.0,0.0,1.0
Bolivia,2011-01-01,2.0,0.0,0.0,1.0,1.0,0.0,0.0
Bolivia,2012-01-01,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Bolivia,2013-01-01,5.0,1.0,1.0,2.0,1.0,0.0,0.0
Bolivia,2014-01-01,4.0,1.0,0.0,2.0,1.0,0.0,0.0
Bolivia,2015-01-01,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Bolivia,2016-01-01,3.0,1.0,0.0,2.0,0.0,0.0,0.0
Botswana,2001-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botswana,2002-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botswana,2003-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botswana,2004-01-01,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Botswana,2005-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botswana,2006-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botswana,2007-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botswana,2008-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botswana,2009-01-01,3.0,0.0,0.0,2.0,0.0,1.0,0.0
Botswana,2010-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botswana,2011-01-01,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Botswana,2012-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botswana,2013-01-01,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Botswana,2014-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botswana,2015-01-01,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Botswana,2016-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,2001-01-01,5.0,1.0,0.0,3.0,0.0,1.0,0.0
Brazil,2002-01-01,5.0,1.0,0.0,2.0,2.0,0.0,0.0
Brazil,2003-01-01,5.0,0.0,0.0,5.0,0.0,0.0,0.0
Brazil,2004-01-01,5.0,1.0,1.0,2.0,0.0,1.0,0.0
Brazil,2005-01-01,4.0,1.0,0.0,2.0,0.0,1.0,0.0
Brazil,2006-01-01,2.0,0.0,0.0,2.0,0.0,0.0,0.0
Brazil,2007-01-01,5.0,1.0,0.0,3.0,1.0,0.0,0.0
Brazil,2008-01-01,5.0,0.0,0.0,4.0,0.0,1.0,0.0
Brazil,2009-01-01,9.0,0.0,0.0,7.0,1.0,1.0,0.0
Brazil,2010-01-01,5.0,1.0,1.0,3.0,0.0,0.0,0.0
Brazil,2011-01-01,8.0,0.0,0.0,8.0,0.0,0.0,0.0
Brazil,2012-01-01,3.0,1.0,0.0,2.0,0.0,0.0,0.0
Brazil,2013-01-01,6.0,0.0,0.0,5.0,0.0,1.0,0.0
Brazil,2014-01-01,5.0,1.0,0.0,4.0,0.0,0.0,0.0
Brazil,2015-01-01,6.0,0.0,0.0,4.0,1.0,1.0,0.0
Brazil,2016-01-01,2.0,0.0,0.0,2.0,0.0,0.0,0.0
Canada,2001-01-01,2.0,0.0,0.0,0.0,0.0,1.0,1.0
Canada,2002-01-01,2.0,0.0,0.0,1.0,0.0,0.0,1.0
Canada,2003-01-01,7.0,0.0,0.0,4.0,0.0,2.0,1.0
Canada,2004-01-01,4.0,0.0,0.0,2.0,0.0,2.0,0.0
Canada,2005-01-01,5.0,0.0,0.0,2.0,0.0,1.0,2.0
Canada,2006-01-01,5.0,0.0,0.0,5.0,0.0,0.0,0.0
Canada,2007-01-01,3.0,0.0,0.0,1.0,0.0,2.0,0.0
Canada,2008-01-01,2.0,0.0,0.0,2.0,0.0,0.0,0.0
Canada,2009-01-01,3.0,0.0,0.0,1.0,0.0,2.0,0.0
Canada,2010-01-01,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Canada,2011-01-01,4.0,0.0,0.0,1.0,0.0,2.0,1.0
Canada,2012-01-01,3.0,0.0,0.0,1.0,0.0,2.0,0.0
Canada,2013-01-01,3.0,0.0,1.0,1.0,0.0,1.0,0.0
Canada,2014-01-01,2.0,0.0,1.0,1.0,0.0,0.0,0.0
Canada,2015-01-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Canada,2016-01-01,2.0,0.0,0.0,1.0,0.0,0.0,1.0
Central African Rep.,2001-01-01,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Central African Rep.,2002-01-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Central African Rep.,2003-01-01,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Central African Rep.,2004-01-01,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Central African Rep.,2005-01-01,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Central African Rep.,2006-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central African Rep.,2007-01-01,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Central African Rep.,2008-01-01,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Central African Rep.,2009-01-01,3.0,0.0,0.0,1.0,0.0,2.0,0.0
Central African Rep.,2010-01-01,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Central African Rep.,2011-01-01,2.0,0.0,0.0,1.0,0.0,1.0,0.0
Central African Rep.,2012-01-01,2.0,0.0,0.0,0.0,0.0,2.0,0.0
Central African Rep.,2013-01-01,2.0,0.0,0.0,1.0,0.0,1.0,0.0
Central African Rep.,2014-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central African Rep.,2015-01-01,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Central African Rep.,2016-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chad,2001-01-01,2.0,1.0,0.0,1.0,0.0,0.0,0.0
Chad,2002-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chad,2003-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chad,2004-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chad,2005-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chad,2006-01-01,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Chad,2007-01-01,3.0,0.0,0.0,2.0,0.0,1.0,0.0
Chad,2008-01-01,2.0,0.0,0.0,2.0,0.0,0.0,0.0
Chad,2009-01-01,3.0,1.0,0.0,2.0,0.0,0.0,0.0
Chad,2010-01-01,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Chad,2011-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chad,2012-01-01,3.0,1.0,0.0,2.0,0.0,0.0,0.0
Chad,2013-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chad,2014-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chad,2015-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chad,2016-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chile,2001-01-01,4.0,0.0,0.0,3.0,0.0,1.0,0.0
Chile,2002-01-01,5.0,0.0,1.0,3.0,0.0,0.0,1.0
Chile,2003-01-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Chile,2004-01-01,2.0,0.0,1.0,1.0,0.0,0.0,0.0
Chile,2005-01-01,3.0,0.0,0.0,2.0,0.0,1.0,0.0
Chile,2006-01-01,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Chile,2007-01-01,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Chile,2008-01-01,2.0,0.0,0.0,2.0,0.0,0.0,0.0
Chile,2009-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chile,2010-01-01,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Chile,2011-01-01,3.0,0.0,1.0,0.0,0.0,0.0,2.0
Chile,2012-01-01,2.0,0.0,0.0,1.0,0.0,0.0,1.0
Chile,2013-01-01,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Chile,2014-01-01,2.0,0.0,0.0,1.0,0.0,0.0,1.0
Chile,2015-01-01,4.0,0.0,0.0,2.0,0.0,1.0,1.0
Chile,2016-01-01,1.0,0.0,0.0,1.0,0.0,0.0,0.0
"China, P.R.: Mainland",2001-01-01,27.0,2.0,0.0,9.0,6.0,10.0,0.0
"China, P.R.: Mainland",2002-01-01,24.0,3.0,1.0,10.0,4.0,6.0,0.0
"China, P.R.: Mainland",2003-01-01,16.0,2.0,0.0,6.0,2.0,5.0,1.0
"China, P.R.: Mainland",2004-01-01,18.0,0.0,1.0,9.0,1.0,7.0,0.0
"China, P.R.: Mainland",2005-01-01,28.0,2.0,1.0,11.0,0.0,14.0,0.0
"China, P.R.: Mainland",2006-01-01,30.0,1.0,0.0,20.0,1.0,8.0,0.0
"China, P.R.: Mainland",2007-01-01,18.0,0.0,0.0,11.0,1.0,6.0,0.0
"China, P.R.: Mainland",2008-01-01,23.0,1.0,2.0,7.0,4.0,9.0,0.0
"China, P.R.: Mainland",2009-01-01,24.0,2.0,0.0,7.0,5.0,10.0,0.0
"China, P.R.: Mainland",2010-01-01,21.0,1.0,0.0,5.0,8.0,6.0,1.0
"China, P.R.: Mainland",2011-01-01,13.0,0.0,1.0,5.0,2.0,5.0,0.0
"China, P.R.: Mainland",2012-01-01,22.0,0.0,1.0,12.0,1.0,8.0,0.0
"China, P.R.: Mainland",2013-01-01,34.0,1.0,1.0,14.0,3.0,15.0,0.0
"China, P.R.: Mainland",2014-01-01,33.0,2.0,0.0,13.0,2.0,16.0,0.0
"China, P.R.: Mainland",2015-01-01,31.0,1.0,0.0,12.0,1.0,17.0,0.0
"China, P.R.: Mainland",2016-01-01,30.0,1.0,1.0,12.0,3.0,13.0,0.0
Colombia,2001-01-01,6.0,0.0,0.0,2.0,2.0,1.0,1.0
Colombia,2002-01-01,5.0,0.0,0.0,4.0,1.0,0.0,0.0
Colombia,2003-01-01,4.0,0.0,0.0,3.0,1.0,0.0,0.0
Colombia,2004-01-01,2.0,0.0,0.0,2.0,0.0,0.0,0.0
Colombia,2005-01-01,4.0,0.0,0.0,3.0,0.0,1.0,0.0
Colombia,2006-01-01,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Colombia,2007-01-01,4.0,0.0,0.0,4.0,0.0,0.0,0.0
Colombia,2008-01-01,3.0,0.0,0.0,2.0,1.0,0.0,0.0
Colombia,2009-01-01,3.0,0.0,0.0,1.0,2.0,0.0,0.0
Colombia,2010-01-01,6.0,0.0,0.0,3.0,2.0,0.0,1.0
Colombia,2011-01-01,3.0,0.0,0.0,2.0,1.0,0.0,0.0
Colombia,2012-01-01,3.0,0.0,0.0,3.0,0.0,0.0,0.0
Colombia,2013-01-01,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Colombia,2014-01-01,5.0,0.0,0.0,4.0,0.0,1.0,0.0
Colombia,2015-01-01,4.0,1.0,0.0,1.0,1.0,0.0,1.0
Colombia,2016-01-01,2.0,0.0,0.0,2.0,0.0,0.0,0.0
"Congo, Dem. Rep. of the",2001-01-01,3.0,0.0,0.0,2.0,1.0,0.0,0.0
"Congo, Dem. Rep. of the",2002-01-01,1.0,0.0,0.0,1.0,0.0,0.0,0.0
"Congo, Dem. Rep. of the",2003-01-01,4.0,0.0,0.0,2.0,0.0,2.0,0.0
"Congo, Dem. Rep. of the",2004-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Congo, Dem. Rep. of the",2005-01-01,1.0,0.0,0.0,0.0,0.0,1.0,0.0
"Congo, Dem. Rep. of the",2006-01-01,4.0,0.0,0.0,3.0,0.0,1.0,0.0
"Congo, Dem. Rep. of the",2007-01-01,1.0,0.0,0.0,1.0,0.0,0.0,0.0
"Congo, Dem. Rep. of the",2008-01-01,2.0,0.0,0.0,1.0,0.0,1.0,0.0
"Congo, Dem. Rep. of the",2009-01-01,2.0,0.0,0.0,1.0,0.0,0.0,1.0
"Congo, Dem. Rep. of the",2010-01-01,4.0,0.0,0.0,2.0,1.0,0.0,1.0
"Congo, Dem. Rep. of the",2011-01-01,2.0,0.0,0.0,2.0,0.0,0.0,0.0
"Congo, Dem. Rep. of the",2012-01-01,1.0,0.0,0.0,1.0,0.0,0.0,0.0
"Congo, Dem. Rep. of the",2013-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Congo, Dem. Rep. of the",2014-01-01,2.0,0.0,0.0,1.0,1.0,0.0,0.0
"Congo, Dem. Rep. of the",2015-01-01,4.0,0.0,0.0,3.0,0.0,0.0,1.0
"Congo, Dem. Rep. of the",2016-01-01,2.0,0.0,0.0,2.0,0.0,0.0,0.0
"Egypt, Arab Rep. of",2001-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Egypt, Arab Rep. of",2002-01-01,2.0,0.0,0.0,2.0,0.0,0.0,0.0
"Egypt, Arab Rep. of",2003-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Egypt, Arab Rep. of",2004-01-01,1.0,0.0,0.0,0.0,0.0,1.0,0.0
"Egypt, Arab Rep. of",2005-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Egypt, Arab Rep. of",2006-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Egypt, Arab Rep. of",2007-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Egypt, Arab Rep. of",2008-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Egypt, Arab Rep. of",2009-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Egypt, Arab Rep. of",2010-01-01,3.0,0.0,0.0,2.0,0.0,1.0,0.0
"Egypt, Arab Rep. of",2011-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Egypt, Arab Rep. of",2012-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Egypt, Arab Rep. of",2013-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Egypt, Arab Rep. of",2014-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Egypt, Arab Rep. of",2015-01-01,3.0,0.0,1.0,0.0,0.0,2.0,0.0
"Egypt, Arab Rep. of",2016-01-01,1.0,0.0,0.0,0.0,0.0,1.0,0.0
"Ethiopia, The Federal Dem. Rep. of",2001-01-01,3.0,0.0,0.0,3.0,0.0,0.0,0.0
"Ethiopia, The Federal Dem. Rep. of",2002-01-01,1.0,0.0,0.0,1.0,0.0,0.0,0.0
"Ethiopia, The Federal Dem. Rep. of",2003-01-01,2.0,1.0,0.0,1.0,0.0,0.0,0.0
"Ethiopia, The Federal Dem. Rep. of",2004-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Ethiopia, The Federal Dem. Rep. of",2005-01-01,5.0,1.0,0.0,4.0,0.0,0.0,0.0
"Ethiopia, The Federal Dem. Rep. of",2006-01-01,7.0,0.0,0.0,7.0,0.0,0.0,0.0
"Ethiopia, The Federal Dem. Rep. of",2007-01-01,2.0,0.0,0.0,2.0,0.0,0.0,0.0
"Ethiopia, The Federal Dem. Rep. of",2008-01-01,4.0,1.0,0.0,3.0,0.0,0.0,0.0
"Ethiopia, The Federal Dem. Rep. of",2009-01-01,1.0,1.0,0.0,0.0,0.0,0.0,0.0
"Ethiopia, The Federal Dem. Rep. of",2010-01-01,3.0,1.0,0.0,2.0,0.0,0.0,0.0
"Ethiopia, The Federal Dem. Rep. of",2011-01-01,2.0,1.0,0.0,1.0,0.0,0.0,0.0
"Ethiopia, The Federal Dem. Rep. of",2012-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Ethiopia, The Federal Dem. Rep. of",2013-01-01,1.0,0.0,0.0,1.0,0.0,0.0,0.0
"Ethiopia, The Federal Dem. Rep. of",2014-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Ethiopia, The Federal Dem. Rep. of",2015-01-01,2.0,1.0,0.0,1.0,0.0,0.0,0.0
"Ethiopia, The Federal Dem. Rep. of",2016-01-01,2.0,0.0,0.0,2.0,0.0,0.0,0.0
France,2001-01-01,7.0,0.0,0.0,5.0,0.0,2.0,0.0
France,2002-01-01,5.0,0.0,0.0,3.0,0.0,2.0,0.0
France,2003-01-01,6.0,0.0,1.0,2.0,0.0,2.0,1.0
France,2004-01-01,1.0,0.0,0.0,0.0,0.0,1.0,0.0
France,2005-01-01,5.0,0.0,2.0,2.0,0.0,0.0,1.0
France,2006-01-01,3.0,0.0,1.0,0.0,0.0,2.0,0.0
France,2007-01-01,3.0,0.0,0.0,0.0,0.0,3.0,0.0
France,2008-01-01,4.0,0.0,1.0,0.0,0.0,3.0,0.0
France,2009-01-01,4.0,0.0,2.0,0.0,0.0,1.0,1.0
France,2010-01-01,4.0,0.0,1.0,1.0,0.0,2.0,0.0
France,2011-01-01,2.0,0.0,0.0,1.0,0.0,1.0,0.0
France,2012-01-01,1.0,0.0,1.0,0.0,0.0,0.0,0.0
France,2013-01-01,3.0,0.0,0.0,1.0,0.0,2.0,0.0
France,2014-01-01,7.0,0.0,0.0,3.0,0.0,4.0,0.0
France,2015-01-01,3.0,0.0,1.0,1.0,0.0,1.0,0.0
France,2016-01-01,1.0,0.0,0.0,1.0,0.0,0.0,0.0
India,2001-01-01,17.0,0.0,2.0,9.0,3.0,3.0,0.0
India,2002-01-01,13.0,1.0,2.0,6.0,0.0,4.0,0.0
India,2003-01-01,16.0,0.0,2.0,6.0,1.0,7.0,0.0
India,2004-01-01,6.0,0.0,0.0,6.0,0.0,0.0,0.0
India,2005-01-01,25.0,0.0,2.0,17.0,2.0,4.0,0.0
India,2006-01-01,20.0,0.0,1.0,17.0,0.0,2.0,0.0
India,2007-01-01,20.0,0.0,3.0,16.0,0.0,1.0,0.0
India,2008-01-01,11.0,0.0,1.0,8.0,1.0,1.0,0.0
India,2009-01-01,17.0,1.0,2.0,6.0,2.0,6.0,0.0
India,2010-01-01,17.0,0.0,1.0,8.0,1.0,7.0,0.0
India,2011-01-01,12.0,0.0,2.0,7.0,0.0,3.0,0.0
India,2012-01-01,9.0,0.0,2.0,6.0,0.0,1.0,0.0
India,2013-01-01,11.0,0.0,1.0,5.0,0.0,5.0,0.0
India,2014-01-01,16.0,0.0,3.0,7.0,1.0,5.0,0.0
India,2015-01-01,19.0,1.0,1.0,10.0,1.0,6.0,0.0
India,2016-01-01,15.0,0.0,1.0,8.0,2.0,3.0,1.0
Indonesia,2001-01-01,8.0,0.0,0.0,4.0,4.0,0.0,0.0
Indonesia,2002-01-01,9.0,0.0,0.0,7.0,1.0,0.0,1.0
Indonesia,2003-01-01,13.0,1.0,0.0,8.0,4.0,0.0,0.0
Indonesia,2004-01-01,7.0,0.0,0.0,1.0,4.0,2.0,0.0
Indonesia,2005-01-01,6.0,0.0,0.0,3.0,2.0,0.0,1.0
Indonesia,2006-01-01,12.0,0.0,0.0,8.0,3.0,0.0,1.0
Indonesia,2007-01-01,10.0,0.0,0.0,8.0,2.0,0.0,0.0
Indonesia,2008-01-01,13.0,0.0,0.0,12.0,1.0,0.0,0.0
Indonesia,2009-01-01,7.0,0.0,0.0,5.0,2.0,0.0,0.0
Indonesia,2010-01-01,8.0,0.0,0.0,7.0,1.0,0.0,0.0
Indonesia,2011-01-01,8.0,0.0,0.0,6.0,2.0,0.0,0.0
Indonesia,2012-01-01,11.0,0.0,0.0,7.0,2.0,2.0,0.0
Indonesia,2013-01-01,12.0,0.0,0.0,10.0,2.0,0.0,0.0
Indonesia,2014-01-01,8.0,0.0,0.0,6.0,2.0,0.0,0.0
Indonesia,2015-01-01,11.0,1.0,0.0,6.0,3.0,0.0,1.0
Indonesia,2016-01-01,12.0,0.0,0.0,10.0,2.0,0.0,0.0
"Iran, Islamic Rep. of",2001-01-01,4.0,0.0,0.0,4.0,0.0,0.0,0.0
"Iran, Islamic Rep. of",2002-01-01,4.0,0.0,0.0,3.0,0.0,0.0,1.0
"Iran, Islamic Rep. of",2003-01-01,2.0,0.0,0.0,1.0,1.0,0.0,0.0
"Iran, Islamic Rep. of",2004-01-01,3.0,0.0,0.0,2.0,0.0,1.0,0.0
"Iran, Islamic Rep. of",2005-01-01,5.0,0.0,0.0,4.0,0.0,1.0,0.0
