series_id,date,total_bulk_and_bagged_units,average_sales_price,plu_4046_units,plu_4225_units,plu_4770_units,small_bagged_units,large_bagged_units,xlarge_bagged_units,is_organic
Albany_conventional,2017-01-29,95.425,1.31,3.845,78.315,0.485,12.394,0.382,0.004,0
Albany_conventional,2017-02-05,183.549,1.49,5.667,165.53,2.119,10.047,0.186,0.0,0
Albany_conventional,2017-02-12,97.216,1.42,3.808,81.07,0.176,11.651,0.511,0.0,0
Albany_conventional,2017-02-19,95.475,1.67,2.703,81.692,0.125,10.784,0.171,0.0,0
Albany_conventional,2017-02-26,88.371,1.4,3.19,73.96,0.071,10.91,0.239,0.0,0
Albany_conventional,2017-03-05,107.354,1.18,3.123,90.784,0.058,13.277,0.111,0.0,0
Albany_conventional,2017-03-12,95.713,1.54,2.047,67.163,0.089,10.99,15.424,0.0,0
Albany_conventional,2017-03-19,92.775,1.6,2.333,72.033,0.141,8.302,9.966,0.0,0
Albany_conventional,2017-03-26,122.952,1.16,3.184,100.854,0.07,7.253,11.59,0.0,0
Albany_conventional,2017-04-02,92.621,1.62,4.531,68.015,0.097,6.332,13.645,0.0,0
Albany_conventional,2017-04-09,105.436,1.54,3.708,87.776,0.044,7.122,6.786,0.0,0
Albany_conventional,2017-04-16,90.487,1.62,4.363,71.958,0.161,7.18,6.825,0.0,0
Albany_conventional,2017-04-23,89.327,1.34,4.438,61.513,0.084,8.236,15.056,0.0,0
Albany_conventional,2017-04-30,124.926,1.13,2.573,99.452,0.082,10.547,12.273,0.0,0
Albany_conventional,2017-05-07,127.193,1.47,2.474,87.792,0.121,9.601,27.206,0.0,0
Albany_conventional,2017-05-14,96.751,1.77,2.805,80.469,0.196,5.728,7.552,0.0,0
Albany_conventional,2017-05-21,100.257,1.38,2.307,86.818,0.334,5.339,5.203,0.257,0
Albany_conventional,2017-05-28,121.869,1.8,2.346,106.69,0.106,6.142,6.029,0.557,0
Albany_conventional,2017-06-04,84.843,1.7,1.923,72.573,0.1,2.834,6.343,1.07,0
Albany_conventional,2017-06-11,91.949,1.65,1.99,76.737,0.365,2.704,8.235,1.918,0
Albany_conventional,2017-06-18,97.079,1.58,2.454,82.154,0.723,3.875,6.698,1.175,0
Albany_conventional,2017-06-25,89.303,1.53,2.225,74.283,0.13,4.686,6.875,1.105,0
Albany_conventional,2017-07-02,98.282,1.56,2.808,79.968,0.741,6.549,6.585,1.63,0
Albany_conventional,2017-07-09,101.331,1.52,2.899,81.929,0.495,8.213,5.21,2.585,0
Albany_conventional,2017-07-16,102.462,1.39,2.469,86.708,2.546,4.95,4.789,1.0,0
Albany_conventional,2017-07-23,84.417,1.49,1.906,72.533,0.941,3.25,4.897,0.89,0
Albany_conventional,2017-07-30,83.6,1.61,1.916,73.288,0.322,5.553,1.932,0.59,0
Albany_conventional,2017-08-06,92.938,1.53,2.457,76.509,0.336,5.918,6.845,0.873,0
Albany_conventional,2017-08-13,133.07,1.52,1.947,118.605,0.187,8.302,3.133,0.897,0
Albany_conventional,2017-08-20,74.62,1.61,1.554,59.028,0.13,8.599,4.156,1.153,0
Albany_conventional,2017-08-27,75.472,1.61,2.156,59.832,0.071,9.396,3.709,0.307,0
Albany_conventional,2017-09-03,74.298,1.76,4.738,59.299,0.122,4.615,3.647,1.877,0
Albany_conventional,2017-09-10,99.646,1.78,3.368,87.155,0.137,4.559,3.673,0.753,0
Albany_conventional,2017-09-17,80.109,1.41,3.986,66.935,0.034,5.29,3.852,0.013,0
Albany_conventional,2017-09-24,68.54,1.64,2.509,56.023,0.075,5.391,4.542,0.0,0
Albany_organic,2016-08-14,1.609,1.72,0.029,0.253,0.0,1.327,0.0,0.0,1
Albany_organic,2016-08-21,1.926,1.67,0.02,0.233,0.0,1.673,0.0,0.0,1
Albany_organic,2016-08-28,1.922,1.66,0.017,0.201,0.0,1.704,0.0,0.0,1
Albany_organic,2016-09-04,2.195,1.73,0.052,0.182,0.0,1.961,0.0,0.0,1
Albany_organic,2016-09-11,3.501,1.68,0.129,0.228,0.0,3.145,0.0,0.0,1
Albany_organic,2016-09-18,2.138,1.69,0.047,0.195,0.0,1.896,0.0,0.0,1
Albany_organic,2016-09-25,2.02,1.68,0.033,0.191,0.0,1.796,0.0,0.0,1
Albany_organic,2016-10-02,2.493,1.73,0.052,0.14,0.0,2.301,0.0,0.0,1
Albany_organic,2016-10-09,2.179,1.75,0.077,0.156,0.0,1.946,0.0,0.0,1
Albany_organic,2016-10-16,1.94,1.75,0.071,0.112,0.0,1.757,0.0,0.0,1
Albany_organic,2016-10-23,1.914,1.86,0.038,0.081,0.0,1.795,0.0,0.0,1
Albany_organic,2016-10-30,1.327,1.96,0.058,0.093,0.0,1.176,0.0,0.0,1
Albany_organic,2016-11-06,2.674,1.93,0.06,0.194,0.0,2.42,0.0,0.0,1
Albany_organic,2016-11-13,2.084,2.0,0.076,0.191,0.0,1.817,0.0,0.0,1
Albany_organic,2016-11-20,1.863,1.93,0.123,0.197,0.0,1.543,0.0,0.0,1
Albany_organic,2016-11-27,1.647,1.97,0.051,0.177,0.0,1.419,0.0,0.0,1
Albany_organic,2016-12-04,1.365,1.97,0.1,0.099,0.0,1.166,0.0,0.0,1
Albany_organic,2016-12-11,1.887,1.9,0.042,0.157,0.0,1.688,0.0,0.0,1
Albany_organic,2016-12-18,1.473,1.86,0.111,0.198,0.0,1.163,0.0,0.0,1
Albany_organic,2016-12-25,1.715,1.93,0.077,0.25,0.0,1.387,0.0,0.0,1
Albany_organic,2017-01-01,1.377,1.87,0.072,0.193,0.0,1.112,0.0,0.0,1
Albany_organic,2017-01-08,2.23,1.94,0.063,0.478,0.0,1.688,0.0,0.0,1
Albany_organic,2017-01-15,1.983,1.84,0.082,0.328,0.0,1.572,0.0,0.0,1
Albany_organic,2017-01-22,1.897,1.82,0.079,0.128,0.0,1.69,0.0,0.0,1
Albany_organic,2017-01-29,1.796,1.86,0.033,0.123,0.0,1.64,0.0,0.0,1
Albany_organic,2017-02-05,1.753,1.72,0.027,0.223,0.0,1.503,0.0,0.0,1
Albany_organic,2017-02-12,1.806,1.78,0.12,0.171,0.0,1.516,0.0,0.0,1
Albany_organic,2017-02-19,2.524,1.67,1.05,0.141,0.0,1.333,0.0,0.0,1
Albany_organic,2017-02-26,2.186,1.71,0.508,0.24,0.0,1.438,0.0,0.0,1
Albany_organic,2017-03-05,2.228,1.84,0.241,0.209,0.0,1.778,0.0,0.0,1
Albany_organic,2017-03-12,2.002,1.97,0.124,0.207,0.0,1.672,0.0,0.0,1
Albany_organic,2017-03-19,2.763,1.87,0.503,0.176,0.0,2.084,0.0,0.0,1
Albany_organic,2017-03-26,2.25,2.02,0.166,0.263,0.0,1.82,0.0,0.0,1
Albany_organic,2017-04-02,3.493,1.86,0.885,0.362,0.0,2.245,0.0,0.0,1
Albany_organic,2017-04-09,2.21,1.92,0.16,0.19,0.0,1.861,0.0,0.0,1
Albany_organic,2017-04-16,2.886,1.85,0.266,0.204,0.0,2.417,0.0,0.0,1
Albany_organic,2017-04-23,2.088,1.92,0.11,0.183,0.0,1.795,0.0,0.0,1
Albany_organic,2017-04-30,3.047,1.74,0.389,0.28,0.0,2.378,0.0,0.0,1
Albany_organic,2017-05-07,2.897,1.79,0.09,0.315,0.0,2.493,0.0,0.0,1
Albany_organic,2017-05-14,4.27,1.57,0.044,0.451,0.0,3.775,0.0,0.0,1
Albany_organic,2017-05-21,3.184,1.84,0.02,0.385,0.0,2.779,0.0,0.0,1
Albany_organic,2017-05-28,3.365,1.87,0.012,0.345,0.0,3.009,0.0,0.0,1
Albany_organic,2017-06-04,3.771,1.63,0.054,0.353,0.0,3.364,0.0,0.0,1
Albany_organic,2017-06-11,2.719,2.04,0.021,0.249,0.0,2.449,0.0,0.0,1
Albany_organic,2017-06-18,3.185,2.03,0.367,0.267,0.0,2.552,0.0,0.0,1
Albany_organic,2017-06-25,2.899,2.13,0.142,0.296,0.0,2.461,0.0,0.0,1
Albany_organic,2017-07-02,2.269,2.03,0.059,0.278,0.0,1.931,0.0,0.0,1
Albany_organic,2017-07-09,1.883,2.0,0.038,0.188,0.0,1.657,0.0,0.0,1
Albany_organic,2017-07-16,2.889,1.87,0.155,0.275,0.0,2.459,0.0,0.0,1
Albany_organic,2017-07-23,4.234,1.42,0.093,0.093,0.0,4.047,0.0,0.0,1
Albany_organic,2017-07-30,2.504,1.67,0.055,0.093,0.0,2.356,0.0,0.0,1
Albany_organic,2017-08-06,2.576,1.98,0.039,0.332,0.0,2.205,0.0,0.0,1
Albany_organic,2017-08-13,2.26,1.9,0.043,0.207,0.0,2.01,0.0,0.0,1
Albany_organic,2017-08-20,2.584,1.86,0.061,0.144,0.0,2.379,0.0,0.0,1
Albany_organic,2017-08-27,2.525,1.91,0.044,0.211,0.0,2.271,0.0,0.0,1
Albany_organic,2017-09-03,2.022,2.0,0.112,0.254,0.0,1.655,0.0,0.0,1
Albany_organic,2017-09-10,3.14,1.78,0.045,0.196,0.0,2.895,0.003,0.0,1
Albany_organic,2017-09-17,3.431,1.55,0.03,0.215,0.0,3.186,0.0,0.0,1
Albany_organic,2017-09-24,3.627,1.42,0.057,0.095,0.0,3.475,0.0,0.0,1
Atlanta_conventional,2016-08-14,666.493,0.87,362.924,60.913,0.087,182.84,59.73,0.0,0
Atlanta_conventional,2016-08-21,549.139,0.94,293.24,48.35,0.083,160.465,47.001,0.0,0
Atlanta_conventional,2016-08-28,539.643,0.95,294.241,42.109,0.124,132.127,70.394,0.647,0
Atlanta_conventional,2016-09-04,614.657,0.89,356.593,55.476,0.131,126.235,75.979,0.243,0
Atlanta_conventional,2016-09-11,597.759,0.9,286.406,54.348,0.206,194.086,62.713,0.0,0
Atlanta_conventional,2016-09-18,527.701,1.01,233.801,70.931,0.132,139.749,82.907,0.181,0
Atlanta_conventional,2016-09-25,435.757,1.26,174.532,77.099,0.132,109.841,73.83,0.322,0
Atlanta_conventional,2016-10-02,440.044,1.26,182.418,69.411,0.141,104.368,83.706,0.0,0
Atlanta_conventional,2016-10-09,452.109,1.23,187.261,69.425,0.157,95.66,99.114,0.493,0
Atlanta_conventional,2016-10-16,459.565,1.16,188.793,82.089,0.104,87.593,100.985,0.0,0
Atlanta_conventional,2016-10-23,422.281,1.23,171.215,67.824,0.166,110.435,72.64,0.0,0
Atlanta_conventional,2016-10-30,408.315,1.26,162.368,69.366,0.16,94.305,82.115,0.0,0
Atlanta_conventional,2016-11-06,393.826,1.29,167.083,65.208,0.168,82.411,78.956,0.0,0
Atlanta_conventional,2016-11-13,408.261,1.25,185.966,63.349,0.181,92.309,66.233,0.223,0
Atlanta_conventional,2016-11-20,448.936,1.14,189.207,58.006,0.168,128.442,72.236,0.878,0
Atlanta_conventional,2016-11-27,372.144,1.22,161.632,55.595,0.167,89.195,65.519,0.036,0
Atlanta_conventional,2016-12-04,475.815,1.03,210.602,93.415,0.207,67.807,103.784,0.0,0
Atlanta_conventional,2016-12-11,422.027,1.06,186.344,56.2,0.172,112.575,66.737,0.0,0
Atlanta_conventional,2016-12-18,463.483,0.94,191.753,80.565,0.283,114.872,76.01,0.0,0
Atlanta_conventional,2016-12-25,502.787,0.91,205.856,86.015,0.185,118.884,91.847,0.0,0
Atlanta_conventional,2017-01-01,547.566,0.93,224.074,118.926,0.337,111.6,92.629,0.0,0
Atlanta_conventional,2017-01-08,601.546,0.98,279.266,77.758,0.319,172.511,71.692,0.0,0
Atlanta_conventional,2017-01-15,557.378,0.99,249.16,86.964,0.17,145.333,75.751,0.0,0
Atlanta_conventional,2017-01-22,755.472,0.84,320.378,135.921,0.179,177.899,121.095,0.0,0
Atlanta_conventional,2017-01-29,627.696,0.95,285.148,86.15,0.22,177.033,79.144,0.0,0
Atlanta_conventional,2017-02-05,888.095,0.83,442.152,167.182,0.413,180.392,97.837,0.118,0
Atlanta_conventional,2017-02-12,666.871,0.79,355.571,77.241,0.326,176.286,56.911,0.536,0
Atlanta_conventional,2017-02-19,563.019,0.86,279.494,52.644,0.133,171.819,55.46,3.468,0
Atlanta_conventional,2017-02-26,631.508,0.85,302.62,53.783,0.097,222.151,50.372,2.485,0
Atlanta_conventional,2017-03-05,511.363,1.08,237.307,52.012,0.063,143.651,77.625,0.705,0
Atlanta_conventional,2017-03-12,469.278,1.21,217.625,48.17,0.098,126.155,75.894,1.336,0
Atlanta_conventional,2017-03-19,460.991,1.25,215.046,50.085,0.148,120.154,72.092,3.466,0
Atlanta_conventional,2017-03-26,443.515,1.32,222.457,50.731,0.133,108.832,56.386,4.975,0
Atlanta_conventional,2017-04-02,481.934,1.26,226.29,48.77,0.14,150.547,52.857,3.33,0
Atlanta_conventional,2017-04-09,465.35,1.23,223.17,48.913,0.124,107.369,78.979,6.795,0
Atlanta_conventional,2017-04-16,543.228,1.15,237.538,48.908,0.144,170.946,80.088,5.605,0
Atlanta_conventional,2017-04-23,530.031,1.21,249.318,55.046,0.096,138.921,84.101,2.548,0
Atlanta_conventional,2017-04-30,595.54,1.17,304.669,74.961,0.241,131.645,75.877,8.147,0
Atlanta_conventional,2017-05-07,726.727,1.1,377.225,72.058,0.249,148.164,121.007,8.024,0
Atlanta_conventional,2017-05-14,568.924,1.18,265.556,49.123,3.491,171.472,69.708,9.574,0
Atlanta_conventional,2017-05-21,526.84,1.2,253.793,49.347,1.651,142.077,70.754,9.219,0
Atlanta_conventional,2017-05-28,523.994,1.23,273.538,50.237,0.354,131.064,57.828,10.973,0
Atlanta_conventional,2017-06-04,710.039,1.08,361.266,55.628,0.131,174.068,113.271,5.675,0
Atlanta_conventional,2017-06-11,572.839,1.13,318.335,51.386,0.101,117.301,78.151,7.565,0
Atlanta_conventional,2017-06-18,492.836,1.2,269.329,49.178,0.145,94.082,69.713,10.39,0
Atlanta_conventional,2017-06-25,501.274,1.12,249.204,46.343,0.15,102.983,95.431,7.162,0
Atlanta_conventional,2017-07-02,528.298,1.16,248.096,56.275,0.11,136.028,77.103,10.686,0
Atlanta_conventional,2017-07-09,507.338,1.19,233.476,57.936,0.442,138.657,69.372,7.455,0
Atlanta_conventional,2017-07-16,582.069,1.2,301.472,63.898,0.101,154.627,55.795,6.176,0
Atlanta_conventional,2017-07-23,518.683,1.24,285.746,65.016,0.151,115.065,45.904,6.8,0
Atlanta_conventional,2017-07-30,472.013,1.34,247.039,60.15,0.087,105.248,53.475,6.015,0
Atlanta_conventional,2017-08-06,518.14,1.36,252.436,60.585,0.07,137.139,60.271,7.639,0
Atlanta_conventional,2017-08-13,534.059,1.37,251.178,62.181,0.065,148.972,66.092,5.57,0
Atlanta_conventional,2017-08-20,475.922,1.43,230.253,49.2,0.028,132.375,62.51,1.557,0
Atlanta_conventional,2017-08-27,458.036,1.49,230.032,48.133,0.1,116.587,56.68,6.505,0
Atlanta_conventional,2017-09-03,433.455,1.53,235.646,47.493,0.122,92.866,54.225,3.103,0
Atlanta_conventional,2017-09-10,466.989,1.54,241.057,47.619,0.111,116.857,58.868,2.475,0
Atlanta_conventional,2017-09-17,392.935,1.59,204.375,47.136,0.093,90.75,50.426,0.156,0
Atlanta_conventional,2017-09-24,403.78,1.5,222.498,45.025,0.034,88.241,47.954,0.027,0
Atlanta_organic,2016-08-14,13.049,1.58,2.514,4.567,0.0,1.855,4.113,0.0,1
Atlanta_organic,2016-08-21,12.433,1.62,2.213,4.514,0.0,2.479,3.228,0.0,1
Atlanta_organic,2016-08-28,18.482,1.14,1.48,4.894,0.0,1.774,10.334,0.0,1
Atlanta_organic,2016-09-04,15.107,1.38,1.586,5.389,0.0,2.065,6.067,0.0,1
Atlanta_organic,2016-09-11,13.017,1.43,1.356,4.532,0.0,1.772,5.356,0.0,1
Atlanta_organic,2016-09-18,8.231,1.91,1.393,4.819,0.0,0.113,1.906,0.0,1
Atlanta_organic,2016-09-25,7.915,2.02,1.4,4.568,0.0,0.084,1.863,0.0,1
Atlanta_organic,2016-10-02,7.057,2.29,1.715,4.946,0.0,0.023,0.374,0.0,1
Atlanta_organic,2016-10-09,19.265,1.07,1.673,4.5,0.0,0.065,13.027,0.0,1
Atlanta_organic,2016-10-16,17.664,1.15,1.142,4.64,0.0,0.048,11.834,0.0,1
Atlanta_organic,2016-10-23,16.791,1.25,0.979,5.629,0.0,0.011,10.171,0.0,1
Atlanta_organic,2016-10-30,7.568,2.25,1.127,5.374,0.0,0.0,1.068,0.0,1
Atlanta_organic,2016-11-06,12.411,1.64,1.268,5.724,0.0,0.197,5.222,0.0,1
Atlanta_organic,2016-11-13,11.118,1.63,0.925,3.867,0.0,2.043,4.283,0.0,1
Atlanta_organic,2016-11-20,9.756,1.56,0.918,3.156,0.0,1.769,3.912,0.0,1
Atlanta_organic,2016-11-27,7.754,1.41,0.706,2.515,0.0,0.51,4.023,0.0,1
Atlanta_organic,2016-12-04,9.99,1.22,0.739,2.945,0.0,0.02,6.287,0.0,1
Atlanta_organic,2016-12-11,13.254,1.06,0.917,2.803,0.0,0.078,9.456,0.0,1
Atlanta_organic,2016-12-18,9.421,1.19,0.825,2.79,0.0,0.006,5.8,0.0,1
Atlanta_organic,2016-12-25,5.456,1.76,0.896,2.981,0.0,0.0,1.58,0.0,1
Atlanta_organic,2017-01-01,5.343,1.81,0.957,2.863,0.0,0.006,1.518,0.0,1
Atlanta_organic,2017-01-08,8.244,1.74,1.456,5.317,0.0,0.0,1.472,0.0,1
Atlanta_organic,2017-01-15,6.291,1.62,1.129,3.583,0.0,0.0,1.579,0.0,1
Atlanta_organic,2017-01-22,7.485,1.62,1.122,4.739,0.0,0.003,1.622,0.0,1
Atlanta_organic,2017-01-29,7.331,1.53,1.103,4.182,0.0,0.006,2.041,0.0,1
Atlanta_organic,2017-02-05,9.685,1.28,1.418,4.209,0.0,0.036,4.022,0.0,1
Atlanta_organic,2017-02-12,11.073,1.07,1.085,4.062,0.0,0.2,5.725,0.0,1
Atlanta_organic,2017-02-19,11.867,1.06,1.388,3.402,0.0,0.086,6.991,0.0,1
Atlanta_organic,2017-02-26,24.323,0.64,1.111,3.495,0.0,0.15,19.566,0.0,1
Atlanta_organic,2017-03-05,32.292,0.62,2.078,4.175,0.0,0.342,25.696,0.0,1
Atlanta_organic,2017-03-12,18.563,0.9,2.141,4.783,0.0,0.19,11.45,0.0,1
Atlanta_organic,2017-03-19,11.754,1.23,1.756,4.657,0.0,0.125,5.216,0.0,1
Atlanta_organic,2017-03-26,16.209,1.27,1.653,5.804,0.0,0.147,8.605,0.0,1
Atlanta_organic,2017-04-02,16.943,1.26,1.253,6.36,0.0,0.636,8.695,0.0,1
Atlanta_organic,2017-04-09,24.439,0.91,1.359,5.782,0.0,1.629,15.668,0.0,1
Atlanta_organic,2017-04-16,16.411,1.27,1.593,7.034,0.0,0.279,7.505,0.0,1
Atlanta_organic,2017-04-23,13.269,1.63,1.705,7.074,0.0,0.147,4.343,0.0,1
Atlanta_organic,2017-04-30,15.042,1.59,1.488,7.557,0.0,0.195,5.803,0.0,1
Atlanta_organic,2017-05-07,18.23,1.37,0.339,7.98,0.0,0.239,9.671,0.0,1
Atlanta_organic,2017-05-14,15.467,1.46,0.988,7.008,0.0,0.24,7.231,0.0,1
Atlanta_organic,2017-05-21,21.858,1.38,1.307,7.475,0.0,1.011,12.065,0.0,1
Atlanta_organic,2017-05-28,19.502,1.59,1.302,6.521,0.0,0.98,10.699,0.0,1
Atlanta_organic,2017-06-04,20.445,1.44,1.464,5.927,0.0,2.611,10.444,0.0,1
Atlanta_organic,2017-06-11,33.969,1.06,1.251,6.518,0.0,4.281,21.918,0.0,1
Atlanta_organic,2017-06-18,23.486,1.49,0.852,9.3,0.0,4.532,8.801,0.0,1
Atlanta_organic,2017-06-25,30.581,1.31,0.608,7.833,0.0,4.646,17.495,0.0,1
Atlanta_organic,2017-07-02,23.108,1.53,0.674,9.001,0.0,3.833,9.6,0.0,1
Atlanta_organic,2017-07-09,22.123,1.61,0.565,10.264,0.0,4.751,6.543,0.0,1
Atlanta_organic,2017-07-16,14.396,1.89,0.472,7.657,0.0,2.881,3.386,0.0,1
Atlanta_organic,2017-07-23,17.588,1.85,0.61,7.547,0.0,4.595,4.836,0.0,1
Atlanta_organic,2017-07-30,15.501,1.78,0.432,6.137,0.0,4.88,4.052,0.0,1
Atlanta_organic,2017-08-06,13.999,1.97,0.452,5.642,0.0,5.936,1.969,0.0,1
Atlanta_organic,2017-08-13,14.534,2.14,0.517,5.4,0.0,8.579,0.038,0.0,1
Atlanta_organic,2017-08-20,17.338,2.18,0.588,6.921,0.0,8.16,1.67,0.0,1
Atlanta_organic,2017-08-27,13.91,2.59,0.639,6.918,0.0,2.357,3.996,0.0,1
Atlanta_organic,2017-09-03,17.991,2.59,0.538,5.589,0.0,3.851,8.013,0.0,1
Atlanta_organic,2017-09-10,13.956,2.59,0.599,5.931,0.0,4.617,2.808,0.0,1
Atlanta_organic,2017-09-17,17.292,2.54,0.521,5.064,0.0,4.932,6.774,0.0,1
Atlanta_organic,2017-09-24,18.912,2.56,0.507,5.069,0.0,4.253,9.083,0.0,1
BaltimoreWashington_conventional,2016-08-14,742.292,1.52,68.336,421.189,24.864,219.53,6.984,1.39,0
BaltimoreWashington_conventional,2016-08-21,727.28,1.48,68.444,413.652,21.95,203.758,15.197,4.278,0
BaltimoreWashington_conventional,2016-08-28,732.546,1.57,72.407,443.668,15.649,194.473,3.979,2.371,0
BaltimoreWashington_conventional,2016-09-04,762.218,1.51,97.714,442.803,20.155,198.132,2.898,0.516,0
BaltimoreWashington_conventional,2016-09-11,885.728,1.34,202.958,494.756,19.882,162.753,4.043,1.335,0
BaltimoreWashington_conventional,2016-09-18,732.425,1.5,151.205,367.426,18.809,191.239,3.747,0.0,0
BaltimoreWashington_conventional,2016-09-25,678.672,1.58,129.774,347.949,19.206,180.491,1.252,0.0,0
BaltimoreWashington_conventional,2016-10-02,672.76,1.66,78.717,381.625,19.493,190.861,1.423,0.642,0
BaltimoreWashington_conventional,2016-10-09,676.189,1.59,72.776,395.481,20.64,185.599,1.332,0.361,0
BaltimoreWashington_conventional,2016-10-16,638.848,1.69,63.424,363.925,19.879,190.382,1.238,0.0,0
BaltimoreWashington_conventional,2016-10-23,584.276,1.85,56.864,336.434,27.037,163.071,0.383,0.487,0
BaltimoreWashington_conventional,2016-10-30,522.547,1.86,58.412,304.617,27.904,130.683,0.566,0.365,0
BaltimoreWashington_conventional,2016-11-06,537.946,1.8,61.459,284.547,41.287,149.604,1.049,0.0,0
BaltimoreWashington_conventional,2016-11-13,559.979,1.73,64.631,311.688,28.558,153.318,1.348,0.436,0
BaltimoreWashington_conventional,2016-11-20,566.16,1.6,51.079,309.529,13.095,189.673,1.883,0.901,0
BaltimoreWashington_conventional,2016-11-27,539.925,1.49,46.243,336.732,8.237,146.287,1.716,0.71,0
BaltimoreWashington_conventional,2016-12-04,566.956,1.41,52.096,345.132,10.05,157.704,1.738,0.236,0
BaltimoreWashington_conventional,2016-12-11,599.161,1.35,49.24,375.438,9.977,153.477,11.029,0.0,0
BaltimoreWashington_conventional,2016-12-18,691.009,1.21,57.866,487.11,8.752,133.753,2.846,0.682,0
BaltimoreWashington_conventional,2016-12-25,550.948,1.47,50.819,344.7,8.53,142.957,2.63,1.312,0
BaltimoreWashington_conventional,2017-01-01,631.761,1.47,54.53,408.952,14.387,151.346,2.542,0.003,0
BaltimoreWashington_conventional,2017-01-08,1029.28,1.14,83.25,750.034,9.794,183.395,2.282,0.526,0
BaltimoreWashington_conventional,2017-01-15,749.511,1.48,76.382,472.453,10.12,188.395,2.152,0.008,0
BaltimoreWashington_conventional,2017-01-22,826.942,1.42,81.909,528.126,22.837,187.903,5.694,0.474,0
BaltimoreWashington_conventional,2017-01-29,781.539,1.46,81.884,489.024,10.828,193.911,2.724,3.168,0
BaltimoreWashington_conventional,2017-02-05,1170.445,1.09,174.325,770.463,29.353,187.363,6.286,2.654,0
BaltimoreWashington_conventional,2017-02-12,925.575,1.24,190.312,538.66,8.823,166.227,19.425,2.127,0
BaltimoreWashington_conventional,2017-02-19,721.257,1.38,96.159,434.568,9.539,169.659,10.734,0.599,0
BaltimoreWashington_conventional,2017-02-26,814.377,1.48,82.179,531.502,9.921,185.955,4.35,0.469,0
BaltimoreWashington_conventional,2017-03-05,880.326,1.33,84.609,591.422,12.153,190.685,1.458,0.0,0
BaltimoreWashington_conventional,2017-03-12,763.784,1.6,72.82,476.272,9.39,202.87,2.051,0.38,0
BaltimoreWashington_conventional,2017-03-19,738.957,1.58,70.368,463.108,6.762,179.561,18.502,0.656,0
BaltimoreWashington_conventional,2017-03-26,739.376,1.6,70.468,462.479,7.285,196.644,1.95,0.55,0
BaltimoreWashington_conventional,2017-04-02,800.802,1.5,82.572,493.953,7.302,213.697,1.724,1.553,0
BaltimoreWashington_conventional,2017-04-09,738.255,1.64,71.188,438.986,6.568,218.334,2.511,0.668,0
BaltimoreWashington_conventional,2017-04-16,717.94,1.7,67.84,439.898,6.835,182.834,20.215,0.318,0
BaltimoreWashington_conventional,2017-04-23,749.187,1.67,69.674,458.3,7.323,197.171,16.073,0.646,0
BaltimoreWashington_conventional,2017-04-30,761.925,1.69,74.467,471.826,7.668,202.999,4.607,0.358,0
BaltimoreWashington_conventional,2017-05-07,1097.981,1.37,75.658,722.002,10.049,282.86,6.801,0.611,0
