series,hour_num,value
T104,564,1636.0
T104,565,1597.0
T104,566,1608.0
T104,567,1554.0
T104,568,1596.0
T104,569,1712.0
T104,570,1976.0
T104,571,2153.0
T104,572,2215.0
T104,573,2386.0
T104,574,2587.0
T104,575,2671.0
T104,576,2732.0
T104,577,2726.0
T104,578,2642.0
T104,579,2501.0
T104,580,2466.0
T104,581,2554.0
T104,582,2439.0
T104,583,2309.0
T104,584,2161.0
T104,585,1809.0
T104,586,1773.0
T104,587,1787.0
T104,588,1747.0
T104,589,1719.0
T104,590,1718.0
T104,591,1670.0
T104,592,1673.0
T104,593,1811.0
T104,594,1969.0
T104,595,2041.0
T104,596,2117.0
T104,597,2178.0
T104,598,2247.0
T104,599,2260.0
T104,600,2239.0
T104,601,2146.0
T104,602,1987.0
T104,603,1877.0
T104,604,1877.0
T104,605,1865.0
T104,606,1692.0
T104,607,1697.0
T104,608,1711.0
T104,609,1509.0
T104,610,1424.0
T104,611,1347.0
T104,612,1370.0
T104,613,1374.0
T104,614,1383.0
T104,615,1323.0
T104,616,1427.0
T104,617,1530.0
T104,618,1790.0
T104,619,1821.0
T104,620,1868.0
T104,621,1990.0
T104,622,2060.0
T104,623,2194.0
T104,624,2306.0
T104,625,2354.0
T104,626,2266.0
T104,627,2152.0
T104,628,2050.0
T104,629,2032.0
T104,630,1843.0
T104,631,1821.0
T104,632,1688.0
T104,633,1676.0
T104,634,1606.0
T104,635,1537.0
T104,636,1440.0
T104,637,1477.0
T104,638,1521.0
T104,639,1550.0
T104,640,1719.0
T104,641,1805.0
T104,642,2057.0
T104,643,2153.0
T104,644,2253.0
T104,645,2386.0
T104,646,2457.0
T104,647,2451.0
T104,648,2476.0
T104,649,2443.0
T104,650,2399.0
T104,651,2333.0
T104,652,2240.0
T104,653,2179.0
T104,654,2026.0
T104,655,1797.0
T104,656,1725.0
T104,657,1695.0
T104,658,1640.0
T104,659,1635.0
T104,660,1544.0
T104,661,1610.0
T104,662,1696.0
T104,663,1645.0
T104,664,1677.0
T104,665,1821.0
T104,666,2004.0
T104,667,2073.0
T104,668,2168.0
T104,669,2350.0
T104,670,2439.0
T104,671,2539.0
T104,672,2602.0
T104,673,2495.0
T104,674,2411.0
T104,675,2343.0
T104,676,2476.0
T104,677,2488.0
T104,678,2270.0
T104,679,2157.0
T104,680,2034.0
T104,681,1917.0
T104,682,1668.0
T104,683,1641.0
T104,684,1660.0
T104,685,1655.0
T104,686,1668.0
T104,687,1663.0
T104,688,1651.0
T104,689,1761.0
T104,690,1917.0
T104,691,2087.0
T104,692,2148.0
T104,693,2246.0
T104,694,2258.0
T104,695,2261.0
T104,696,2292.0
T104,697,2276.0
T104,698,2275.0
T104,699,2264.0
T104,700,2313.0
T104,701,2246.0
T104,702,2023.0
T104,703,1939.0
T104,704,1890.0
T104,705,1802.0
T104,706,1546.0
T104,707,1591.0
T104,708,1587.0
T104,709,1580.0
T104,710,1563.0
T104,711,1510.0
T104,712,1592.0
T104,713,1702.0
T104,714,1992.0
T104,715,2155.0
T104,716,2273.0
T104,717,2366.0
T104,718,2418.0
T104,719,2411.0
T104,720,2441.0
T104,721,2471.0
T104,722,2411.0
T104,723,2337.0
T104,724,2329.0
T104,725,2319.0
T104,726,2153.0
T104,727,2041.0
T104,728,1893.0
T104,729,1786.0
T104,730,1589.0
T104,731,1498.0
T104,732,1486.0
T104,733,1478.0
T104,734,1466.0
T104,735,1432.0
T104,736,1504.0
T104,737,1700.0
T104,738,1966.0
T104,739,2172.0
T104,740,2174.0
T104,741,2102.0
T104,742,2122.0
T104,743,2130.0
T104,744,2043.0
T104,745,2035.0
T104,746,2020.0
T104,747,1950.0
T104,748,1992.0
T108,375,363.0
T108,376,396.0
T108,377,577.0
T108,378,467.0
T108,379,647.0
T108,380,648.0
T108,381,660.0
T108,382,647.0
T108,383,590.0
T108,384,498.0
T108,385,695.0
T108,386,639.0
T108,387,538.0
T108,388,495.0
T108,389,600.0
T108,390,501.0
T108,391,518.0
T108,392,372.0
T108,393,247.0
T108,394,240.0
T108,395,215.0
T108,396,207.0
T108,397,203.0
T108,398,207.0
T108,399,336.0
T108,400,358.0
T108,401,379.0
T108,402,469.0
T108,403,421.0
T108,404,653.0
T108,405,698.0
T108,406,733.0
T108,407,715.0
T108,408,695.0
T108,409,714.0
T108,410,727.0
T108,411,597.0
T108,412,519.0
T108,413,440.0
T108,414,469.0
T108,415,563.0
T108,416,461.0
T108,417,301.0
T108,418,255.0
T108,419,276.0
T108,420,234.0
T108,421,246.0
T108,422,228.0
T108,423,222.0
T108,424,219.0
T108,425,365.0
T108,426,543.0
T108,427,643.0
T108,428,640.0
T108,429,759.0
T108,430,743.0
T108,431,727.0
T108,432,743.0
T108,433,810.0
T108,434,788.0
T108,435,743.0
T108,436,654.0
T108,437,498.0
T108,438,457.0
T108,439,529.0
T108,440,512.0
T108,441,300.0
T108,442,231.0
T108,443,242.0
T108,444,218.0
T108,445,217.0
T108,446,207.0
T108,447,265.0
T108,448,333.0
T108,449,387.0
T108,450,549.0
T108,451,670.0
T108,452,762.0
T108,453,713.0
T108,454,707.0
T108,455,731.0
T108,456,626.0
T108,457,714.0
T108,458,586.0
T108,459,578.0
T108,460,615.0
T108,461,665.0
T108,462,650.0
T108,463,449.0
T108,464,268.0
T108,465,337.0
T108,466,249.0
T108,467,236.0
T108,468,276.0
T108,469,238.0
T108,470,233.0
T108,471,403.0
T108,472,352.0
T108,473,431.0
T108,474,353.0
T108,475,412.0
T108,476,450.0
T108,477,417.0
T108,478,403.0
T108,479,429.0
T108,480,417.0
T108,481,451.0
T108,482,536.0
T108,483,555.0
T108,484,518.0
T108,485,427.0
T108,486,506.0
T108,487,338.0
T108,488,340.0
T108,489,330.0
T108,490,226.0
T108,491,235.0
T108,492,249.0
T108,493,261.0
T108,494,276.0
T108,495,397.0
T108,496,553.0
T108,497,565.0
T108,498,563.0
T108,499,619.0
T108,500,678.0
T108,501,681.0
T108,502,522.0
T108,503,663.0
T108,504,654.0
T108,505,537.0
T108,506,399.0
T108,507,361.0
T108,508,398.0
T108,509,454.0
T108,510,399.0
T108,511,423.0
T108,512,289.0
T108,513,245.0
T108,514,242.0
T108,515,225.0
T108,516,230.0
T108,517,222.0
T108,518,247.0
T108,519,396.0
T108,520,515.0
T108,521,618.0
T108,522,565.0
T108,523,581.0
T108,524,633.0
T108,525,652.0
T108,526,638.0
T108,527,590.0
T108,528,639.0
T108,529,643.0
T108,530,559.0
T108,531,502.0
T108,532,560.0
T108,533,693.0
T108,534,590.0
T108,535,552.0
T108,536,365.0
T108,537,281.0
T108,538,215.0
T108,539,216.0
T108,540,227.0
T108,541,199.0
T108,542,249.0
T108,543,268.0
T108,544,471.0
T108,545,533.0
T108,546,607.0
T108,547,639.0
T108,548,654.0
T108,549,752.0
T108,550,800.0
T108,551,654.0
T108,552,594.0
T108,553,556.0
T108,554,569.0
T108,555,539.0
T108,556,449.0
T108,557,505.0
T108,558,404.0
T108,559,254.0
T108,560,312.0
T108,561,324.0
T108,562,242.0
T108,563,216.0
T108,564,211.0
T108,565,231.0
T108,566,309.0
T108,567,285.0
T108,568,406.0
T108,569,538.0
T108,570,515.0
T108,571,530.0
T108,572,657.0
T108,573,683.0
T108,574,523.0
T108,575,608.0
T108,576,557.0
T108,577,545.0
T108,578,568.0
T108,579,555.0
T108,580,408.0
T108,581,455.0
T108,582,463.0
T108,583,426.0
T108,584,367.0
T108,585,297.0
T108,586,289.0
T108,587,267.0
T108,588,264.0
T108,589,198.0
T108,590,248.0
T108,591,237.0
T108,592,286.0
T108,593,401.0
T108,594,437.0
T108,595,417.0
T108,596,443.0
T108,597,534.0
T108,598,561.0
T108,599,524.0
T108,600,485.0
T108,601,440.0
T108,602,463.0
T108,603,441.0
T108,604,372.0
T108,605,361.0
T108,606,366.0
T108,607,373.0
T108,608,377.0
T108,609,242.0
T108,610,253.0
T108,611,258.0
T108,612,241.0
T108,613,217.0
T108,614,238.0
T108,615,235.0
T108,616,253.0
T108,617,333.0
T108,618,408.0
T108,619,524.0
T108,620,548.0
T108,621,580.0
T108,622,545.0
T108,623,506.0
T108,624,505.0
T108,625,499.0
T108,626,551.0
T108,627,538.0
T108,628,507.0
T108,629,445.0
T108,630,438.0
T108,631,312.0
T108,632,246.0
T108,633,267.0
T108,634,291.0
T108,635,257.0
T108,636,266.0
T108,637,236.0
T108,638,266.0
T108,639,223.0
T108,640,307.0
T108,641,495.0
T108,642,545.0
T108,643,606.0
T108,644,562.0
T108,645,546.0
T108,646,563.0
T108,647,567.0
T108,648,506.0
T108,649,523.0
T108,650,472.0
T108,651,507.0
T108,652,532.0
T108,653,517.0
T108,654,518.0
T108,655,452.0
T108,656,359.0
T108,657,226.0
T108,658,226.0
T108,659,238.0
T108,660,231.0
T108,661,250.0
T108,662,251.0
T108,663,223.0
T108,664,449.0
T108,665,483.0
T108,666,528.0
T108,667,456.0
T108,668,507.0
T108,669,494.0
T108,670,529.0
T108,671,557.0
T108,672,607.0
T108,673,700.0
T108,674,744.0
T108,675,653.0
T108,676,428.0
T108,677,488.0
T108,678,417.0
T108,679,425.0
T108,680,253.0
T108,681,260.0
T108,682,234.0
T108,683,219.0
T108,684,241.0
T108,685,226.0
T108,686,219.0
T108,687,252.0
T108,688,337.0
T108,689,415.0
T108,690,467.0
T108,691,575.0
T108,692,620.0
T108,693,512.0
T108,694,580.0
T108,695,599.0
T108,696,736.0
T108,697,696.0
T108,698,759.0
T108,699,580.0
T108,700,522.0
T108,701,578.0
T108,702,525.0
T108,703,523.0
T108,704,445.0
T108,705,272.0
T108,706,234.0
T108,707,244.0
T108,708,227.0
T108,709,227.0
T108,710,225.0
T108,711,242.0
T108,712,256.0
T108,713,331.0
T108,714,344.0
T108,715,452.0
T108,716,473.0
T108,717,384.0
T108,718,463.0
T108,719,594.0
T108,720,620.0
T108,721,703.0
T108,722,683.0
T108,723,607.0
T108,724,565.0
T108,725,612.0
T108,726,474.0
T108,727,639.0
T108,728,466.0
T108,729,289.0
T108,730,272.0
T108,731,250.0
T108,732,225.0
T108,733,230.0
T108,734,229.0
T108,735,248.0
T108,736,213.0
T108,737,300.0
T108,738,340.0
T108,739,322.0
T108,740,431.0
T108,741,343.0
T108,742,430.0
T108,743,566.0
T108,744,620.0
T108,745,663.0
T108,746,682.0
T108,747,460.0
T108,748,407.0
T11,375,28504.0
T11,376,29689.0
T11,377,30714.0
T11,378,31971.0
T11,379,33078.0
T11,380,34576.0
T11,381,35939.0
T11,382,36975.0
T11,383,37621.0
T11,384,37701.0
T11,385,37089.0
T11,386,35885.0
T11,387,35219.0
T11,388,33850.0
T11,389,30936.0
T11,390,28270.0
T11,391,26375.0
T11,392,25136.0
T11,393,24161.0
T11,394,23991.0
T11,395,24216.0
T11,396,24736.0
T11,397,25863.0
T11,398,27268.0
T11,399,28659.0
T11,400,30033.0
T11,401,31515.0
T11,402,32518.0
T11,403,33729.0
T11,404,35335.0
T11,405,36799.0
T11,406,37959.0
T11,407,38668.0
T11,408,38717.0
T11,409,37929.0
T11,410,36445.0
T11,411,35474.0
T11,412,34065.0
T11,413,31525.0
T11,414,28934.0
T11,415,27037.0
T11,416,25601.0
T11,417,24440.0
T11,418,23746.0
T11,419,23556.0
T11,420,23803.0
T11,421,24059.0
T11,422,25063.0
T11,423,26383.0
T11,424,27596.0
T11,425,28588.0
T11,426,29278.0
T11,427,30048.0
T11,428,30313.0
T11,429,30217.0
T11,430,30014.0
T11,431,30176.0
T11,432,30215.0
T11,433,30133.0
T11,434,29802.0
T11,435,29838.0
T11,436,29480.0
T11,437,27891.0
T11,438,26181.0
T11,439,24877.0
T11,440,23883.0
T11,441,23323.0
T11,442,22702.0
T11,443,22643.0
T11,444,22718.0
T11,445,22495.0
T11,446,23176.0
T11,447,24732.0
T11,448,26554.0
T11,449,28135.0
T11,450,29763.0
T11,451,31438.0
T11,452,33181.0
T11,453,34409.0
T11,454,34692.0
T11,455,34471.0
T11,456,34216.0
T11,457,33722.0
T11,458,33265.0
T11,459,33453.0
T11,460,32457.0
T11,461,29951.0
T11,462,27606.0
T11,463,26005.0
T11,464,24919.0
T11,465,24352.0
T11,466,24048.0
T11,467,24519.0
T11,468,25431.0
T11,469,26871.0
T11,470,28931.0
T11,471,30691.0
T11,472,32266.0
T11,473,33956.0
T11,474,35413.0
T11,475,36433.0
T11,476,37845.0
T11,477,38987.0
T11,478,39891.0
T11,479,40596.0
T11,480,40584.0
T11,481,39694.0
T11,482,38191.0
T11,483,37491.0
T11,484,35801.0
T11,485,32477.0
T11,486,29785.0
T11,487,27933.0
T11,488,26604.0
T11,489,25645.0
T11,490,25078.0
T11,491,25202.0
T11,492,25964.0
T11,493,26996.0
T11,494,28526.0
T11,495,30254.0
T11,496,31532.0
T11,497,32887.0
T11,498,33917.0
T11,499,34793.0
T11,500,35924.0
T11,501,36858.0
T11,502,37656.0
T11,503,38164.0
T11,504,38038.0
T11,505,37264.0
T11,506,36070.0
T11,507,35681.0
T11,508,34328.0
T11,509,31362.0
T11,510,28763.0
T11,511,26948.0
T11,512,25585.0
T11,513,24687.0
T11,514,24349.0
T11,515,24552.0
T11,516,25463.0
T11,517,26794.0
T11,518,28246.0
T11,519,29434.0
T11,520,30581.0
T11,521,31783.0
T11,522,32578.0
T11,523,33188.0
T11,524,34239.0
T11,525,35130.0
T11,526,35792.0
T11,527,36297.0
T11,528,36316.0
T11,529,35604.0
T11,530,34433.0
T11,531,34253.0
T11,532,32990.0
T11,533,30227.0
T11,534,27706.0
T11,535,25857.0
T11,536,24750.0
T11,537,23987.0
T11,538,23903.0
T11,539,24147.0
T11,540,24929.0
T11,541,26339.0
T11,542,27791.0
T11,543,28887.0
T11,544,29811.0
T11,545,30655.0
T11,546,31284.0
T11,547,31986.0
T11,548,33222.0
T11,549,34093.0
T11,550,34953.0
T11,551,35711.0
T11,552,35893.0
T11,553,35346.0
T11,554,34321.0
T11,555,34230.0
T11,556,32990.0
T11,557,30315.0
T11,558,27817.0
T11,559,25967.0
T11,560,25025.0
T11,561,24094.0
T11,562,23689.0
T11,563,23877.0
T11,564,24614.0
T11,565,25596.0
T11,566,27002.0
T11,567,28358.0
T11,568,29525.0
T11,569,30771.0
T11,570,32039.0
T11,571,33091.0
T11,572,34178.0
T11,573,35508.0
T11,574,36350.0
T11,575,37157.0
T11,576,37231.0
T11,577,33485.0
T11,578,30939.0
T11,579,28294.0
T11,580,26459.0
T11,581,25429.0
T11,582,24322.0
T11,583,23627.0
T11,584,23474.0
T11,585,23776.0
T11,586,23756.0
T11,587,24583.0
T11,588,25760.0
T11,589,27080.0
T11,590,28530.0
T11,591,29790.0
T11,592,30779.0
T11,593,32040.0
T11,594,32985.0
T11,595,33953.0
T11,596,34751.0
T11,597,35155.0
T11,598,34914.0
T11,599,33855.0
T11,600,33429.0
T11,601,32209.0
T11,602,29957.0
T11,603,27677.0
T11,604,25675.0
T11,605,24705.0
T11,606,23759.0
T11,607,23304.0
T11,608,22954.0
T11,609,22841.0
T11,610,22585.0
T11,611,23173.0
T11,612,24392.0
T11,613,25453.0
T11,614,26529.0
T11,615,27458.0
T11,616,28585.0
T11,617,29771.0
T11,618,30924.0
T11,619,31799.0
T11,620,32731.0
T11,621,33205.0
T11,622,33073.0
T11,623,32105.0
T11,624,31885.0
T11,625,30824.0
T11,626,28482.0
T11,627,26060.0
T11,628,24311.0
T11,629,23835.0
T11,630,23112.0
T11,631,22923.0
T11,632,23121.0
T11,633,23839.0
T11,634,25062.0
T11,635,26590.0
T11,636,28319.0
T11,637,29592.0
T11,638,30973.0
T11,639,32146.0
T11,640,32954.0
T11,641,34128.0
T11,642,35511.0
T11,643,36707.0
T11,644,37611.0
T11,645,37797.0
T11,646,37248.0
T11,647,36063.0
T11,648,35528.0
T11,649,33861.0
T11,650,30679.0
T11,651,27920.0
T11,652,26034.0
T11,653,25046.0
T11,654,24133.0
T11,655,23656.0
T11,656,23907.0
T11,657,24522.0
T11,658,25741.0
T11,659,27241.0
T11,660,28686.0
T11,661,30236.0
T11,662,32089.0
T11,663,33648.0
T11,664,34780.0
T11,665,36689.0
T11,666,38354.0
T11,667,39685.0
T11,668,40721.0
T11,669,40978.0
T11,670,40370.0
T11,671,39126.0
T11,672,38264.0
T11,673,36203.0
T11,674,32792.0
T11,675,29591.0
T11,676,27476.0
T11,677,25983.0
T11,678,25139.0
T11,679,24686.0
T11,680,24825.0
T11,681,25670.0
T11,682,26707.0
T11,683,28435.0
T11,684,30084.0
T11,685,31673.0
T11,686,33670.0
T11,687,35358.0
T11,688,36850.0
T11,689,39024.0
T11,690,40582.0
T11,691,41664.0
T11,692,42326.0
T11,693,42172.0
T11,694,41502.0
T11,695,40159.0
T11,696,39250.0
T11,697,37241.0
T11,698,33806.0
T11,699,30672.0
T11,700,28457.0
T11,701,26811.0
T11,702,25707.0
T11,703,25014.0
T11,704,25134.0
T11,705,26071.0
T11,706,27252.0
T11,707,28915.0
T11,708,30658.0
T11,709,32201.0
T11,710,33991.0
T11,711,35662.0
T11,712,37346.0
T11,713,39386.0
T11,714,40630.0
T11,715,41199.0
T11,716,41717.0
T11,717,41339.0
T11,718,40017.0
T11,719,38767.0
T11,720,38546.0
T11,721,36741.0
T11,722,33545.0
T11,723,30678.0
T11,724,28465.0
T11,725,26887.0
T11,726,25764.0
T11,727,25158.0
T11,728,25315.0
T11,729,26072.0
T11,730,27114.0
T11,731,28798.0
T11,732,30724.0
T11,733,32365.0
T11,734,33876.0
T11,735,35305.0
T11,736,36622.0
T11,737,38122.0
T11,738,39382.0
T11,739,40259.0
T11,740,40616.0
T11,741,40259.0
T11,742,39147.0
T11,743,37567.0
T11,744,37013.0
T11,745,35270.0
T11,746,32586.0
T11,747,29894.0
T11,748,27779.0
T112,375,3578.0
T112,376,3957.0
T112,377,4294.0
T112,378,4586.0
T112,379,4852.0
T112,380,5530.0
T112,381,5922.0
T112,382,6095.0
T112,383,6403.0
T112,384,6698.0
T112,385,6837.0
T112,386,6886.0
T112,387,6686.0
T112,388,6503.0
T112,389,6580.0
T112,390,6223.0
T112,391,5762.0
T112,392,5085.0
T112,393,4813.0
T112,394,4094.0
T112,395,3745.0
T112,396,3525.0
T112,397,3589.0
T112,398,3964.0
T112,399,4339.0
T112,400,4483.0
T112,401,4743.0
T112,402,5048.0
T112,403,5371.0
T112,404,5949.0
T112,405,6141.0
T112,406,6234.0
T112,407,6428.0
T112,408,6361.0
T112,409,6116.0
T112,410,6138.0
T112,411,6080.0
T112,412,5988.0
T112,413,6000.0
T112,414,5897.0
T112,415,5296.0
T112,416,4702.0
T112,417,4281.0
T112,418,3988.0
T112,419,3380.0
T112,420,2939.0
T112,421,2872.0
T112,422,2912.0
T112,423,2890.0
T112,424,3091.0
T112,425,3519.0
T112,426,4109.0
T112,427,4947.0
T112,428,5372.0
T112,429,5579.0
T112,430,5923.0
T112,431,6221.0
T112,432,6157.0
T112,433,5797.0
T112,434,5593.0
T112,435,5328.0
T112,436,5286.0
T112,437,5470.0
T112,438,5246.0
T112,439,4735.0
T112,440,4097.0
T112,441,3850.0
T112,442,3433.0
T112,443,2930.0
T112,444,2593.0
T112,445,2648.0
T112,446,2625.0
T112,447,2461.0
T112,448,2885.0
T112,449,3331.0
T112,450,3859.0
T112,451,4412.0
T112,452,5063.0
T112,453,5426.0
T112,454,5625.0
T112,455,5801.0
T112,456,6027.0
T112,457,6250.0
T112,458,6300.0
T112,459,6076.0
T112,460,5786.0
T112,461,5810.0
T112,462,5782.0
T112,463,5673.0
T112,464,4760.0
T112,465,4027.0
T112,466,3490.0
T112,467,3157.0
T112,468,3072.0
T112,469,3085.0
T112,470,3397.0
T112,471,3836.0
T112,472,4233.0
T112,473,4812.0
T112,474,5202.0
T112,475,5692.0
T112,476,6010.0
T112,477,6228.0
T112,478,6309.0
T112,479,6468.0
T112,480,6610.0
T112,481,6725.0
T112,482,6755.0
T112,483,6709.0
T112,484,6396.0
T112,485,6360.0
T112,486,6098.0
T112,487,5150.0
T112,488,4482.0
T112,489,4011.0
T112,490,3330.0
T112,491,3061.0
T112,492,2934.0
T112,493,2842.0
T112,494,3042.0
T112,495,3391.0
T112,496,3783.0
T112,497,4111.0
T112,498,4660.0
T112,499,4965.0
T112,500,5397.0
T112,501,5908.0
T112,502,6164.0
T112,503,6444.0
T112,504,6537.0
T112,505,6672.0
T112,506,6707.0
T112,507,6691.0
T112,508,6461.0
T112,509,6342.0
T112,510,5995.0
T112,511,5419.0
T112,512,4722.0
T112,513,4017.0
T112,514,3577.0
T112,515,3347.0
T112,516,3073.0
T112,517,3058.0
T112,518,3072.0
T112,519,3492.0
T112,520,3898.0
T112,521,4151.0
T112,522,4344.0
T112,523,4721.0
T112,524,5324.0
T112,525,5664.0
T112,526,5954.0
T112,527,6222.0
T112,528,6445.0
T112,529,6586.0
T112,530,6613.0
T112,531,6394.0
T112,532,6285.0
T112,533,6270.0
T112,534,6035.0
T112,535,5306.0
T112,536,4840.0
T112,537,4114.0
T112,538,3924.0
T112,539,3561.0
T112,540,3287.0
T112,541,3270.0
T112,542,3371.0
T112,543,3586.0
T112,544,3992.0
T112,545,4203.0
T112,546,4472.0
T112,547,4719.0
T112,548,5151.0
T112,549,5340.0
T112,550,5677.0
T112,551,5717.0
T112,552,6033.0
T112,553,6125.0
T112,554,6062.0
T112,555,6008.0
T112,556,5887.0
T112,557,5861.0
T112,558,5619.0
T112,559,5407.0
T112,560,4909.0
T112,561,4041.0
T112,562,3797.0
T112,563,3510.0
T112,564,3465.0
T112,565,3474.0
T112,566,3675.0
T112,567,3882.0
T112,568,4088.0
T112,569,4102.0
T112,570,4279.0
T112,571,4821.0
T112,572,5302.0
T112,573,5447.0
T112,574,5810.0
T112,575,6126.0
T112,576,6217.0
T112,577,6290.0
T112,578,6260.0
T112,579,6149.0
T112,580,6010.0
T112,581,5970.0
T112,582,5654.0
T112,583,5374.0
T112,584,5070.0
T112,585,4141.0
T112,586,3774.0
T112,587,3394.0
T112,588,3182.0
T112,589,3143.0
T112,590,3221.0
T112,591,3237.0
T112,592,3161.0
T112,593,3478.0
T112,594,3881.0
T112,595,4481.0
T112,596,5184.0
T112,597,5557.0
T112,598,5906.0
T112,599,6152.0
T112,600,6245.0
T112,601,6620.0
T112,602,6518.0
T112,603,6308.0
T112,604,6150.0
T112,605,5907.0
T112,606,5578.0
T112,607,5408.0
T112,608,4927.0
T112,609,4357.0
T112,610,3499.0
T112,611,3102.0
T112,612,3050.0
T112,613,3020.0
T112,614,2968.0
T112,615,2852.0
T112,616,2971.0
T112,617,3162.0
T112,618,3554.0
T112,619,4064.0
T112,620,5011.0
T112,621,5448.0
T112,622,5806.0
T112,623,5957.0
T112,624,6250.0
T112,625,6356.0
T112,626,6295.0
T112,627,6184.0
T112,628,6074.0
T112,629,6131.0
T112,630,5708.0
T112,631,5419.0
T112,632,4928.0
T112,633,4001.0
T112,634,3643.0
T112,635,3384.0
T112,636,3223.0
T112,637,3235.0
T112,638,3392.0
T112,639,3952.0
T112,640,4212.0
T112,641,4429.0
T112,642,4649.0
T112,643,5090.0
T112,644,5556.0
T112,645,5691.0
T112,646,6070.0
T112,647,6412.0
T112,648,6497.0
T112,649,6617.0
T112,650,6705.0
T112,651,6704.0
T112,652,6472.0
T112,653,6569.0
T112,654,6075.0
T112,655,5504.0
T112,656,5271.0
T112,657,4309.0
T112,658,3901.0
T112,659,3777.0
T112,660,3587.0
T112,661,3566.0
T112,662,3691.0
T112,663,4096.0
T112,664,4302.0
T112,665,4436.0
T112,666,4812.0
T112,667,5473.0
T112,668,5816.0
T112,669,5992.0
T112,670,6326.0
T112,671,6707.0
T112,672,6889.0
T112,673,6930.0
T112,674,6808.0
T112,675,6691.0
T112,676,6578.0
T112,677,6636.0
T112,678,6419.0
T112,679,5408.0
T112,680,4788.0
T112,681,4151.0
T112,682,3811.0
T112,683,3537.0
T112,684,3499.0
T112,685,3514.0
T112,686,3654.0
T112,687,3865.0
