series,year,value
T10634,1999-01-01,3515.5
T10634,2000-01-01,3569.7
T10634,2001-01-01,3584.4
T10634,2002-01-01,3632.5
T10634,2003-01-01,3649.1
T10634,2004-01-01,3657.7
T10634,2005-01-01,3691.2
T10634,2006-01-01,3702.4
T10634,2007-01-01,3726.0
T10634,2008-01-01,3743.9
T10634,2009-01-01,3757.2
T10636,1993-01-01,7166.0
T10636,1994-01-01,7280.8
T10636,1995-01-01,7294.1
T10636,1996-01-01,7270.7
T10636,1997-01-01,7136.9
T10636,1998-01-01,6851.3
T10636,1999-01-01,6662.5
T10636,2000-01-01,6600.8
T10636,2001-01-01,6543.5
T10636,2002-01-01,6517.5
T10636,2003-01-01,6495.8
T10636,2004-01-01,6678.1
T10636,2005-01-01,6625.6
T10636,2006-01-01,6685.4
T10636,2007-01-01,6581.1
T10636,2008-01-01,6640.8
T10636,2009-01-01,6596.9
T1064,1993-01-01,1443.72
T1064,1994-01-01,1459.82
T1064,1995-01-01,1481.79
T1064,1996-01-01,1499.37
T1064,1997-01-01,1501.45
T1064,1998-01-01,1508.27
T1064,1999-01-01,1515.41
T1064,2000-01-01,1525.16
T1064,2001-01-01,1531.79
T1064,2002-01-01,1535.59
T1064,2003-01-01,1541.03
T1064,2004-01-01,1554.21
T1064,2005-01-01,1564.13
T1064,2006-01-01,1580.98
T1064,2007-01-01,1595.01
T1064,2008-01-01,1602.58
T1064,2009-01-01,1600.49
T10641,1993-01-01,2040.42
T10641,1994-01-01,2058.36
T10641,1995-01-01,2072.56
T10641,1996-01-01,2093.35
T10641,1997-01-01,2102.61
T10641,1998-01-01,2125.93
T10641,1999-01-01,2132.82
T10641,2000-01-01,2139.28
T10641,2001-01-01,2149.58
T10641,2002-01-01,2170.21
T10641,2003-01-01,2188.38
T10641,2004-01-01,2204.17
T10641,2005-01-01,2222.61
T10641,2006-01-01,2254.45
T10641,2007-01-01,2271.78
T10641,2008-01-01,2296.8
T10641,2009-01-01,2320.87
T10642,1993-01-01,1836.7
T10642,1994-01-01,1838.1
T10642,1995-01-01,1849.1
T10642,1996-01-01,1824.0
T10642,1997-01-01,1820.1
T10642,1998-01-01,1806.1
T10642,1999-01-01,1814.8
T10642,2000-01-01,1827.8
T10642,2001-01-01,1822.6
T10642,2002-01-01,1811.7
T10642,2003-01-01,1807.7
T10642,2004-01-01,1796.1
T10642,2005-01-01,1791.9
T10642,2006-01-01,1781.0
T10642,2007-01-01,1776.6
T10642,2008-01-01,1771.5
T10642,2009-01-01,1774.4
T10661,1993-01-01,1710.55
T10661,1994-01-01,1760.32
T10661,1995-01-01,1805.46
T10661,1996-01-01,1845.84
T10661,1997-01-01,1883.34
T10661,1998-01-01,1908.46
T10661,1999-01-01,1936.97
T10661,2000-01-01,1974.54
T10661,2001-01-01,2008.26
T10661,2002-01-01,2043.98
T10661,2003-01-01,2072.55
T10661,2004-01-01,2102.9
T10661,2005-01-01,2132.1
T10661,2006-01-01,2156.12
T10661,2007-01-01,2203.82
T10661,2008-01-01,2263.41
T10661,2009-01-01,2305.8
T11767,1993-01-01,1121.9
T11767,1994-01-01,1137.0
T11767,1995-01-01,1143.1
T11767,1996-01-01,1157.4
T11767,1997-01-01,1162.4
T11767,1998-01-01,1165.5
T11767,1999-01-01,1175.5
T11767,2000-01-01,1158.5
T11767,2001-01-01,1135.3
T11767,2002-01-01,1124.1
T11767,2003-01-01,1128.7
T11767,2004-01-01,1101.1
T11767,2005-01-01,1095.2
T11767,2006-01-01,1071.0
T11767,2007-01-01,1094.0
T11767,2008-01-01,1087.8
T11767,2009-01-01,1091.3
T11768,1993-01-01,4191.0
T11768,1994-01-01,4266.6
T11768,1995-01-01,4317.4
T11768,1996-01-01,4312.8
T11768,1997-01-01,4320.1
T11768,1998-01-01,4350.9
T11768,1999-01-01,4366.7
T11768,2000-01-01,4353.6
T11768,2001-01-01,4356.7
T11768,2002-01-01,4367.5
T11768,2003-01-01,4394.5
T11768,2004-01-01,4453.9
T11768,2005-01-01,4496.0
T11768,2006-01-01,4546.0
T11768,2007-01-01,4658.6
T11768,2008-01-01,4752.4
T11768,2009-01-01,4832.2
T12026,1993-01-01,2125.5
T12026,1994-01-01,2130.1
T12026,1995-01-01,2142.2
T12026,1996-01-01,2145.0
T12026,1997-01-01,2166.1
T12026,1998-01-01,2186.4
T12026,1999-01-01,2187.8
T12026,2000-01-01,2202.7
T12026,2001-01-01,2203.9
T12026,2002-01-01,2227.2
T12026,2003-01-01,2241.2
T12026,2004-01-01,2252.8
T12026,2005-01-01,2241.6
T12026,2006-01-01,2249.1
T12026,2007-01-01,2240.3
T12026,2008-01-01,2228.7
T12026,2009-01-01,2229.9
T12050,1993-01-01,3788.2
T12050,1994-01-01,3854.1
T12050,1995-01-01,3907.7
T12050,1996-01-01,3980.2
T12050,1997-01-01,4075.1
T12050,1998-01-01,4157.1
T12050,1999-01-01,4237.8
T12050,2000-01-01,4287.2
T12050,2001-01-01,4363.3
T12050,2002-01-01,4453.4
T12050,2003-01-01,4526.5
T12050,2004-01-01,4560.2
T12050,2005-01-01,4596.6
T12050,2006-01-01,4675.4
T12050,2007-01-01,4792.9
T12050,2008-01-01,4909.1
T12050,2009-01-01,4994.2
T16463,1993-01-01,2146.9
T16463,1994-01-01,2168.0
T16463,1995-01-01,2207.2
T16463,1996-01-01,2232.2
T16463,1997-01-01,2270.0
T16463,1998-01-01,2311.1
T16463,1999-01-01,2343.7
T16463,2000-01-01,2373.6
T16463,2001-01-01,2421.2
T16463,2002-01-01,2472.6
T16463,2003-01-01,2546.2
T16463,2004-01-01,2615.8
T16463,2005-01-01,2670.3
T16463,2006-01-01,2697.9
T16463,2007-01-01,2733.2
T16463,2008-01-01,2778.2
T16463,2009-01-01,2784.7
T16478,1993-01-01,1539.6
T16478,1994-01-01,1607.6
T16478,1995-01-01,1710.0
T16478,1996-01-01,1726.7
T16478,1997-01-01,1737.8
T16478,1998-01-01,1758.8
T16478,1999-01-01,1753.2
T16478,2000-01-01,1765.4
T16478,2001-01-01,1761.9
T16478,2002-01-01,1779.4
T16478,2003-01-01,1806.2
T16478,2004-01-01,1823.1
T16478,2005-01-01,1812.2
T16478,2006-01-01,1817.0
T16478,2007-01-01,1834.1
T16478,2008-01-01,1821.1
T16478,2009-01-01,1807.2
T16553,1993-01-01,6309.0
T16553,1994-01-01,6362.2
T16553,1995-01-01,6374.4
T16553,1996-01-01,6425.5
T16553,1997-01-01,6467.2
T16553,1998-01-01,6510.1
T16553,1999-01-01,6479.7
T16553,2000-01-01,6501.7
T16553,2001-01-01,6488.6
T16553,2002-01-01,6495.9
T16553,2003-01-01,6516.2
T16553,2004-01-01,6553.8
T16553,2005-01-01,6609.7
T16553,2006-01-01,6656.9
T16553,2007-01-01,6704.4
T16553,2008-01-01,6762.1
T16553,2009-01-01,6778.0
T4179,1993-01-01,2215.80819227667
T4179,1994-01-01,2215.3004029746
T4179,1995-01-01,2359.46462911069
T4179,1996-01-01,2518.19733576507
T4179,1997-01-01,2538.50820719701
T4179,1998-01-01,1923.57503937866
T4179,1999-01-01,2101.46631985676
T4179,2000-01-01,3577.73157825983
T4179,2001-01-01,3763.88139693803
T4179,2002-01-01,4071.03016278264
T4179,2003-01-01,4653.81717025627
T4179,2004-01-01,5208.27014436737
T4179,2005-01-01,5753.59866030919
T4179,2006-01-01,5862.43637747585
T4179,2007-01-01,6920.94029152629
T4179,2008-01-01,8505.53392061041
T4179,2009-01-01,8155.93331149679
T636,1993-01-01,4631.3
T636,1994-01-01,4859.8
T636,1995-01-01,5038.3
T636,1996-01-01,5170.6
T636,1997-01-01,5292.5
T636,1998-01-01,5427.5
T636,1999-01-01,5544.5
T636,2000-01-01,5662.9
T636,2001-01-01,5722.4
T636,2002-01-01,5824.7
T636,2003-01-01,5984.7
T636,2004-01-01,6138.1
T636,2005-01-01,6385.9
T636,2006-01-01,6693.2
T636,2007-01-01,6787.4
T636,2008-01-01,6885.1
T636,2009-01-01,6914.7
T637,1993-01-01,4411.0
T637,1994-01-01,4458.2
T637,1995-01-01,4539.3
T637,1996-01-01,4550.5
T637,1997-01-01,4570.2
T637,1998-01-01,4597.7
T637,1999-01-01,4603.9
T637,2000-01-01,4678.5
T637,2001-01-01,4649.1
T637,2002-01-01,4650.9
T637,2003-01-01,4672.8
T637,2004-01-01,4745.4
T637,2005-01-01,4849.1
T637,2006-01-01,4886.7
T637,2007-01-01,4901.0
T637,2008-01-01,5096.3
T637,2009-01-01,5083.8
T638,1993-01-01,1723.4
T638,1994-01-01,1756.9
T638,1995-01-01,1781.4
T638,1996-01-01,1809.0
T638,1997-01-01,1812.3
T638,1998-01-01,1830.1
T638,1999-01-01,1860.9
T638,2000-01-01,1873.2
T638,2001-01-01,1880.8
T638,2002-01-01,1860.6
T638,2003-01-01,1862.5
T638,2004-01-01,1886.4
T638,2005-01-01,1880.4
T638,2006-01-01,1897.8
T638,2007-01-01,1896.4
T638,2008-01-01,1895.6
T638,2009-01-01,1890.5
T640,1993-01-01,1732.2
T640,1994-01-01,1745.7
T640,1995-01-01,1808.1
T640,1996-01-01,1885.2
T640,1997-01-01,1885.4
T640,1998-01-01,1912.7
T640,1999-01-01,1946.7
T640,2000-01-01,1920.8
T640,2001-01-01,1924.3
T640,2002-01-01,1921.5
T640,2003-01-01,1964.6
T640,2004-01-01,1960.1
T640,2005-01-01,1989.4
T640,2006-01-01,2004.7
T640,2007-01-01,2093.6
T640,2008-01-01,2137.5
T640,2009-01-01,2139.9
T652,1993-01-01,1746.0
T652,1994-01-01,1727.31
T652,1995-01-01,1728.59
T652,1996-01-01,1750.18
T652,1997-01-01,1766.26
T652,1998-01-01,1770.04
T652,1999-01-01,1786.52
T652,2000-01-01,1799.36
T652,2001-01-01,1813.28
T652,2002-01-01,1830.68
T652,2003-01-01,1853.46
T652,2004-01-01,1863.82
T652,2005-01-01,1878.76
T652,2006-01-01,1905.73
T652,2007-01-01,1929.74
T652,2008-01-01,1934.74
T652,2009-01-01,1953.41
T654,1993-01-01,3484.8
T654,1994-01-01,3493.5
T654,1995-01-01,3356.3
T654,1996-01-01,3350.8
T654,1997-01-01,3338.2
T654,1998-01-01,3334.1
T654,1999-01-01,3316.8
T654,2000-01-01,3279.4
T654,2001-01-01,3274.7
T654,2002-01-01,3277.6
T654,2003-01-01,3299.6
T654,2004-01-01,3284.3
T654,2005-01-01,3294.8
T654,2006-01-01,3300.5
T654,2007-01-01,3311.8
T654,2008-01-01,3281.1
T654,2009-01-01,3280.5
T689,1993-01-01,1390.3
T689,1994-01-01,1372.6
T689,1995-01-01,1372.3
T689,1996-01-01,1375.2
T689,1997-01-01,1367.7
T689,1998-01-01,1376.1
T689,1999-01-01,1370.9
T689,2000-01-01,1365.3
T689,2001-01-01,1350.9
T689,2002-01-01,1333.1
T689,2003-01-01,1340.7
T689,2004-01-01,1331.6
T689,2005-01-01,1327.7
T689,2006-01-01,1311.7
T689,2007-01-01,1288.7
T689,2008-01-01,1271.9
T689,2009-01-01,1264.8
T690,1993-01-01,2322.3
T690,1994-01-01,2355.2
T690,1995-01-01,2396.2
T690,1996-01-01,2424.9
T690,1997-01-01,2445.3
T690,1998-01-01,2482.3
T690,1999-01-01,2521.4
T690,2000-01-01,2531.6
T690,2001-01-01,2560.0
T690,2002-01-01,2597.5
T690,2003-01-01,2616.6
T690,2004-01-01,2647.8
